station dans rayon,station atteintes
188,188
137,137
418,None
417,417
420,420
419,419
422,None
421,421
424,424
423,423
426,None
425,425
189,189
20,20
466,466
467,467
468,468
469,None
471,None
470,470
474,None
473,473
476,None
475,475
478,None
477,477
479,None
480,480
481,481
482,None
851,None
852,852
570,570
2245,2245
2494,2494
1243,1243
1244,1244
2249,2249
2501,2501
2248,2248
2503,2503
2250,2250
2505,2505
2252,2252
2509,2509
489,None
488,488
490,490
491,491
495,None
494,494
499,499
500,None
502,None
503,503
504,504
505,None
1272,1272
1270,None
2560,2560
2561,2561
29,29
7,7
506,506
497,497
496,496
501,501
111,None
190,190
28,28
498,498
508,None
509,509
1264,None
1265,1265
512,512
513,None
514,514
515,515
520,520
521,None
522,522
523,523
524,524
525,525
191,None
93,93
549,None
550,550
829,None
830,830
551,None
552,552
554,554
553,None
539,539
37,None
538,538
546,546
545,545
2282,2282
609,None
610,610
617,None
616,616
619,None
618,618
849,849
45,None
622,None
623,623
650,650
649,649
624,624
625,None
640,640
639,639
627,None
626,626
638,None
637,637
628,628
629,629
647,647
648,648
631,None
641,641
642,642
633,None
634,634
644,644
645,645
635,None
636,636
2633,2633
621,621
620,620
643,643
46,46
666,None
665,665
720,720
719,719
724,None
725,725
726,726
727,727
64,64
2558,2558
65,65
186,186
92,92
187,187
136,136
751,751
750,750
746,746
747,747
756,756
755,755
748,748
749,749
754,754
753,753
762,None
763,763
184,184
113,None
140,140
827,None
828,828
826,826
79,None
