centroid,nb_destinations,trajets,trajets_ok,nb_station_DRT,DRT,DRT_ok,WALK_to_station_DRT,WALK,somme,inaccessibilite,accessibilite
0,12,None,None,None,None,None,None,None,45122.3184,3760.1931999999997,0.0002659437818248275
1,14,None,None,None,None,None,None,None,46148.47679999999,3296.3197714285707,0.00030336862602581077
2,15,None,None,None,None,None,None,None,53086.8852,3539.1256799999996,0.0002825556621656906
3,8,None,None,None,None,None,None,None,26535.8016,3316.9752,0.0003014794925207762
4,4,None,None,None,None,None,None,None,13395.733199999999,3348.9332999999997,0.0002986025430843905
5,7,None,None,None,None,None,None,None,23833.3308,3404.761542857143,0.00029370632492542757
6,6,None,None,None,None,None,None,None,18763.6188,3127.2698,0.00031976774117794377
7,3,1,1,0,0,0,0,1,6821.829600000001,2273.9432,0.000439764722355422
8,7,3,2,0,0,0,0,3,20565.9708,2937.9958285714283,0.000340368080265873
9,7,None,None,None,None,None,None,None,23545.758,3363.6797142857145,0.00029729346576992763
10,4,4,3,0,0,0,0,4,6129.8604,1532.4651,0.0006525434086557665
11,8,4,3,0,0,0,0,4,24690.4104,3086.3013,0.00032401243520844837
12,16,6,2,0,0,0,0,6,53317.8756,3332.367225,0.00030008697495816956
13,12,5,5,0,0,0,0,5,25192.48800000001,2099.3740000000007,0.0004763324686311251
14,13,6,1,0,0,0,0,6,46225.906800000004,3555.838984615385,0.0002812275821055391
