station dans rayon,station atteintes
399,None
400,None
2637,None
2638,None
2643,None
2644,None
410,None
409,None
412,None
411,None
413,413
414,414
415,None
416,None
2608,None
2609,None
403,403
404,404
405,405
406,406
1267,1267
1266,1266
159,None
18,None
436,None
437,None
438,None
439,None
444,None
445,None
447,None
446,None
172,None
105,None
452,452
454,454
455,None
456,None
457,457
465,None
464,464
458,None
459,None
461,None
460,460
463,None
462,462
171,171
23,None
451,None
24,24
169,None
578,None
579,None
183,None
87,None
580,None
31,None
526,None
527,527
529,529
530,530
161,None
97,None
534,534
35,None
163,163
165,165
607,None
653,None
654,None
656,None
657,None
660,None
659,None
178,None
95,None
818,None
819,None
662,None
661,None
560,560
559,559
563,563
562,562
558,None
157,None
139,139
158,158
