destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
188,19260.0,WALK,3,765,None,1195.073,None,None,10173.162
137,38700.0,WALK,3,765,None,1195.073,None,None,10276.264799999999
734,12840.0,WALK,2,285,None,574.438,None,None,11929.0788
733,14340.0,WALK,3,764,None,1183.531,None,None,11971.7256
448,14340.0,WALK,4,764,None,1183.531,None,None,10656.408
22,16080.0,WALK,5,764,None,1183.531,None,None,10500.277199999999
177,None,None,None,None,None,None,None,None,10503.585599999999
851,None,None,None,None,None,None,None,None,8728.9236
852,14580.0,WALK,2,344,None,1197.098,None,None,8729.279999999999
570,18660.0,WALK,7,764,None,1183.531,None,None,8764.6824
571,13500.0,WALK,4,764,None,1183.531,None,None,9563.269199999999
572,19020.0,WALK,3,344,None,1197.098,None,None,9573.6384
573,13560.0,WALK,4,764,None,1183.531,None,None,9778.5552
574,18960.0,WALK,3,344,None,1197.098,None,None,9786.2652
2243,14700.0,WALK,2,344,None,1197.098,None,None,8787.549599999998
2245,29640.0,WALK,6,764,None,1183.531,None,None,8775.7176
2494,5160.0,WALK,1,344,None,1197.098,None,None,8780.982
1243,13860.0,WALK,1,344,None,1197.098,None,None,9131.3568
1244,19680.0,WALK,6,764,None,1183.531,None,None,9136.939199999999
2249,13740.0,WALK,4,764,None,1183.531,None,None,10182.509999999998
2501,20460.0,WALK,6,764,None,1183.531,None,None,10189.5312
2248,13860.0,WALK,4,764,None,1183.531,None,None,10937.9388
2503,20340.0,WALK,6,764,None,1183.531,None,None,10945.0464
2250,19860.0,WALK,6,764,None,1183.531,None,None,11099.5092
2505,14220.0,WALK,4,764,None,1183.531,None,None,11090.232
578,None,None,None,None,None,None,None,None,11692.578
579,13740.0,WALK,5,764,None,1183.531,None,None,11698.890000000001
2260,None,None,None,None,None,None,None,None,10545.57
2282,14160.0,WALK,6,764,None,1183.531,None,None,4035.1391999999996
612,3300.0,WALK,3,764,None,1183.531,None,None,4383.4536
611,11820.0,WALK,5,764,None,1183.531,None,None,4384.9475999999995
613,None,None,None,None,None,None,None,None,5197.031999999999
614,18000.0,WALK,6,764,None,1183.531,None,None,5193.5424
617,None,None,None,None,None,None,None,None,4564.1424
616,14280.0,WALK,6,764,None,1183.531,None,None,4560.3252
619,None,None,None,None,None,None,None,None,4050.2459999999996
618,14100.0,WALK,6,764,None,1183.531,None,None,4039.3655999999996
2284,None,None,None,None,None,None,None,None,4699.134
2640,3180.0,WALK,2,764,None,1183.531,None,None,2790.5976
2459,None,None,None,None,None,None,None,None,4871.1732
849,14040.0,WALK,6,764,None,1183.531,None,None,3792.8124
45,None,None,None,None,None,None,None,None,3800.6976
622,None,None,None,None,None,None,None,None,4545.8387999999995
623,15300.0,WALK,2,765,None,1195.073,None,None,4562.0328
650,5760.0,WALK,2,765,None,1195.073,None,None,6606.396
649,3480.0,WALK,1,765,None,1195.073,None,None,6613.525199999999
624,18360.0,WALK,6,764,None,1183.531,None,None,6072.21
625,15900.0,WALK,2,765,None,1195.073,None,None,6064.4856
640,5880.0,WALK,2,765,None,1195.073,None,None,5153.361599999999
639,3360.0,WALK,1,765,None,1195.073,None,None,5164.092
627,None,None,None,None,None,None,None,None,5367.6972
626,15420.0,WALK,2,765,None,1195.073,None,None,5370.246
638,15960.0,WALK,2,765,None,1195.073,None,None,5545.611599999999
