destination,total_time,direct_walk_time
734,12840.0,5181.967199999999
733,3540.0,5217.0972
739,12600.0,6918.8928
740,3780.0,6855.5268
728,12540.0,7554.2268
729,3840.0,7430.6856
738,12720.0,5864.013599999999
737,3660.0,5878.8804
730,12780.0,5532.51
731,3600.0,5561.5572
736,12660.0,6129.5832
735,3720.0,6080.167199999999
435,35760.0,8517.534
434,15840.0,8527.2768
436,None,11853.325200000001
437,19440.0,11858.1792
438,11040.0,9658.939199999999
439,4080.0,9652.9344
440,15900.0,8050.3056
441,15540.0,8053.71
444,8580.0,9897.812399999999
445,4140.0,9917.8632
442,11280.0,8510.7804
443,3840.0,8598.2952
447,11160.0,9071.5776
446,3960.0,9044.4156
448,3720.0,6990.1668
22,16080.0,8890.267199999998
177,None,8898.5004
172,15720.0,9387.7236
105,15660.0,9384.618
171,16500.0,11486.7552
23,None,11481.0528
532,12360.0,10457.278799999998
531,4020.0,10471.0368
161,19200.0,11235.918
97,15840.0,11245.248000000001
600,15900.0,11938.4616
601,None,11932.2456
584,12240.0,11525.213999999998
583,4140.0,11553.2856
586,6540.0,8915.7348
585,14040.0,8894.2056
597,10740.0,11255.716799999998
596,13320.0,11268.4692
130,6780.0,10598.1348
153,13500.0,10575.692399999998
598,13980.0,9509.7612
599,6600.0,9423.6744
613,None,11885.6796
614,18000.0,11888.909999999998
2640,3180.0,11574.626400000001
2459,None,11456.440799999998
656,None,11948.4468
657,17340.0,11956.6872
788,16620.0,2945.8331999999996
227,6300.0,9347.602799999999
194,6660.0,9255.3708
235,3660.0,6621.2424
278,20160.0,7719.9144
261,6600.0,7699.956
352,21420.0,6529.7771999999995
294,12360.0,8576.950799999999
336,6180.0,8532.4272
379,5340.0,6481.2948
350,21300.0,6469.0452
221,5700.0,7482.7188
202,4140.0,7491.1968
228,6300.0,9381.7992
193,6480.0,9357.428399999999
303,5460.0,4857.3528
328,2940.0,4852.008
204,4260.0,6919.416
219,5580.0,6946.889999999999
270,12300.0,9833.2848
333,6360.0,6552.7944
298,3240.0,6567.774
377,5220.0,6392.7504
249,3660.0,6410.6964
236,5220.0,6410.247599999999
304,5580.0,4431.057599999999
327,2880.0,4465.785599999999
688,6780.0,8696.1204
687,None,8647.964399999999
2611,14460.0,8337.552
2612,2520.0,8352.0432
205,4440.0,6697.6932
218,5460.0,6720.2339999999995
222,5760.0,7784.9184
201,4020.0,7807.86
276,20340.0,7108.0572
263,6420.0,7127.9352
247,5160.0,5922.6431999999995
238,3780.0,5908.341600000001
198,6840.0,7797.766799999999
224,6060.0,7788.558
299,6480.0,6545.7024
332,3240.0,6573.816
380,1800.0,6816.105599999999
349,18360.0,6831.1752
1258,4200.0,7167.8676
1259,5640.0,7171.540799999999
242,None,5745.9576
243,4020.0,5722.4904
359,6780.0,5949.0671999999995
370,4740.0,6025.2804
216,4500.0,6631.3248
207,5400.0,6603.637199999999
215,4500.0,6551.151599999999
208,5280.0,6540.909599999999
355,6660.0,6560.6844
374,4860.0,6523.886399999999
226,6300.0,9059.5992
195,6660.0,9044.2644
251,3540.0,7056.204
234,5400.0,7031.0328
690,1500.0,5311.7447999999995
691,13680.0,5298.8916
1260,4740.0,5633.5884
1261,5100.0,5627.248799999999
241,None,5405.307599999999
244,3960.0,5421.4392
277,20220.0,7365.72
262,6480.0,7391.629199999999
675,6720.0,8653.3272
676,6180.0,8663.664
256,None,9108.0876
229,4740.0,9108.8508
245,3840.0,5407.937999999999
240,3000.0,5479.8756
356,6660.0,6541.0512
373,4860.0,6553.1939999999995
684,1620.0,5908.155599999999
685,4680.0,5913.2292
354,21540.0,6304.846799999999
375,5100.0,6285.6467999999995
2566,None,9075.148799999999
2565,4680.0,9081.4632
214,4560.0,6247.0572
209,5280.0,6262.379999999999
250,6300.0,6730.7004
297,3420.0,6746.8308
252,3420.0,7329.0851999999995
233,5520.0,7334.666399999999
271,12360.0,9633.538799999998
353,21480.0,6318.5532
376,5160.0,6300.6720000000005
351,21360.0,6618.0
378,5280.0,6630.217199999999
275,12180.0,6815.1107999999995
264,6300.0,6793.2516
371,4800.0,6494.768399999999
254,2580.0,8450.627999999999
357,18120.0,6977.4348
372,15120.0,6992.709599999999
272,None,9011.2608
267,12480.0,8988.792
686,18300.0,5951.9364
225,6120.0,8300.3208
197,6780.0,8305.7892
302,5460.0,5126.4228
329,2940.0,5079.6684
213,None,6482.6088
210,15060.0,6490.8924
200,3960.0,7658.2092
2564,2760.0,9724.246799999999
206,4440.0,6523.047599999999
217,5400.0,6509.4708
212,18420.0,6191.6052
211,1680.0,6189.974399999999
295,12480.0,8142.985199999999
335,6180.0,8100.9492
