destination,total_time,direct_walk_time
399,None,11243.395199999999
400,32580.0,11228.3784
2637,32220.0,11015.46
2638,None,11018.3604
2643,31440.0,11999.1528
413,17760.0,10479.948
414,15420.0,10478.117999999999
405,17340.0,11946.894
406,15600.0,11913.4836
1267,17520.0,11256.6564
1266,15360.0,11277.096
159,32160.0,11496.1008
18,21000.0,11481.292800000001
739,12600.0,3300.5135999999998
740,14580.0,3232.3596
728,12540.0,3974.9496
729,14640.0,3848.5272
736,12660.0,2470.1964
735,14520.0,2420.8547999999996
435,35760.0,5196.9839999999995
434,15840.0,5204.6892
436,None,8604.754799999999
437,19440.0,8610.264
438,18720.0,6649.071599999999
439,14700.0,6648.0419999999995
440,15900.0,4795.7904
441,15540.0,4799.2656
444,18600.0,6829.6932
445,14760.0,6853.4112000000005
442,18960.0,5543.952
443,14460.0,5626.0404
447,18840.0,6102.8556
446,14580.0,6078.5688
448,14340.0,4513.0416
22,16080.0,6558.204
177,None,6565.708799999999
172,15720.0,6095.558399999999
105,15660.0,6093.969599999999
452,19920.0,11017.954800000001
454,21060.0,10167.019199999999
455,19740.0,10181.5824
456,None,9141.21
457,21180.0,9131.4936
465,18120.0,10408.4712
464,16200.0,10376.514
458,None,9186.453599999999
459,19620.0,9193.4328
461,None,8790.8376
460,32700.0,8784.560399999998
463,20820.0,9733.2156
462,20100.0,9736.0296
171,32760.0,8019.861599999999
23,None,8014.760399999999
451,14940.0,8559.954
24,16320.0,9453.374399999999
169,20760.0,9459.714
526,17940.0,9353.7504
527,15180.0,9364.677599999999
529,17880.0,9636.282
530,15240.0,9642.9924
532,12360.0,6841.910399999999
531,14820.0,6855.852
161,19200.0,7589.1323999999995
97,20880.0,7598.393999999999
534,32940.0,8501.3424
35,19320.0,8364.5724
163,17820.0,9930.3012
165,15300.0,9891.4152
589,14640.0,10616.4324
588,19980.0,10571.31
600,15900.0,8975.322
601,None,8968.658399999998
584,12240.0,8109.1356
583,14940.0,8138.930399999999
602,11520.0,9048.678
603,15780.0,9058.0656
586,6540.0,6583.150799999999
585,21000.0,6566.2512
595,15120.0,9544.288799999998
594,18600.0,9550.4172
597,10740.0,8614.9656
596,16080.0,8628.15
582,11460.0,9170.4768
581,15840.0,9185.4912
591,14700.0,11287.1916
590,19860.0,11186.0808
592,14580.0,9682.47
593,20040.0,9614.5104
151,15060.0,8843.6796
156,11580.0,8829.7572
154,19740.0,11852.014799999999
42,14760.0,11857.120799999999
130,6780.0,8302.4484
153,16200.0,8287.160399999999
598,16320.0,7172.7408
599,6600.0,7082.4108
613,None,11608.859999999999
614,18000.0,11613.4596
2459,None,11263.465199999999
653,None,9800.5476
654,16980.0,9807.408
656,None,8965.4568
657,17340.0,8972.786399999999
660,28500.0,9448.0644
659,17100.0,9451.5108
178,17220.0,9339.866399999999
95,15960.0,9326.3424
787,22080.0,3292.2575999999995
786,5820.0,3275.5776
788,16620.0,2984.7912
