centroid_id,centroid_lon,centroid_lat,distance,stop_id,departure_time,walking_time
0,104.886835,11.582120000000002,1427.609,1008,'08:30:00',1713.131
1,104.886835,11.57172,614.001,1009,'08:30:00',736.801
1,104.886835,11.57172,309.96,1008,'08:30:00',371.952
1,104.886835,11.57172,707.925,1007,'08:30:00',849.51
2,104.886835,11.561319999999998,948.036,1009,'08:30:00',1137.643
2,104.886835,11.561319999999998,895.04,1008,'08:30:00',1074.048
3,104.896105,11.582120000000002,945.957,2008,'08:30:00',1135.148
3,104.896105,11.582120000000002,930.819,2007,'08:30:00',1116.983
4,104.896105,11.57172,897.939,1008,'08:30:00',1077.527
4,104.896105,11.57172,410.007,1007,'08:30:00',492.008
4,104.896105,11.57172,383.459,1006,'08:30:00',460.151
4,104.896105,11.57172,732.056,1005,'08:30:00',878.467
5,104.896105,11.561319999999998,983.516,1007,'08:30:00',1180.219
5,104.896105,11.561319999999998,974.055,1006,'08:30:00',1168.866
6,104.905375,11.582120000000002,585.775,2009,'08:30:00',702.93
6,104.905375,11.582120000000002,251.752,2008,'08:30:00',302.102
6,104.905375,11.582120000000002,168.352,2007,'08:30:00',202.022
6,104.905375,11.582120000000002,563.68,2006,'08:30:00',676.416
6,104.905375,11.582120000000002,819.396,2005,'08:30:00',983.275
7,104.905375,11.57172,611.335,2006,'08:30:00',733.602
7,104.905375,11.57172,333.862,2005,'08:30:00',400.634
7,104.905375,11.57172,828.469,2002,'08:30:00',994.163
7,104.905375,11.57172,446.942,2001,'08:30:00',536.33
7,104.905375,11.57172,165.353,2000,'08:30:00',198.424
7,104.905375,11.57172,737.602,1006,'08:30:00',885.122
7,104.905375,11.57172,345.022,1005,'08:30:00',414.026
7,104.905375,11.57172,283.738,1004,'08:30:00',340.486
7,104.905375,11.57172,796.551,1003,'08:30:00',955.861
8,104.905375,11.561319999999998,677.692,2004,'08:30:00',813.23
8,104.905375,11.561319999999998,336.607,2003,'08:30:00',403.928
8,104.905375,11.561319999999998,399.382,2002,'08:30:00',479.258
8,104.905375,11.561319999999998,740.574,2001,'08:30:00',888.689
8,104.905375,11.561319999999998,988.282,2000,'08:30:00',1185.938
9,104.914645,11.582120000000002,1111.188,2007,'08:30:00',1333.426
10,104.914645,11.57172,966.562,2001,'08:30:00',1159.874
10,104.914645,11.57172,994.485,2000,'08:30:00',1193.382
10,104.914645,11.57172,769.556,1004,'08:30:00',923.467
10,104.914645,11.57172,228.485,1003,'08:30:00',274.182
10,104.914645,11.57172,383.401,1002,'08:30:00',460.081
10,104.914645,11.57172,992.107,1001,'08:30:00',1190.528
11,104.914645,11.561319999999998,870.089,2004,'08:30:00',1044.107
11,104.914645,11.561319999999998,737.181,2003,'08:30:00',884.617
11,104.914645,11.561319999999998,882.795,2002,'08:30:00',1059.354
12,104.923915,11.582120000000002,1056.672,1001,'08:30:00',1268.006
13,104.923915,11.57172,627.716,1002,'08:30:00',753.259
13,104.923915,11.57172,535.632,1000,'08:30:00',642.758
13,104.923915,11.57172,96.906,1001,'08:30:00',116.287
14,104.923915,11.561319999999998,1244.684,1001,'08:30:00',1493.621
