centroid,nb_destinations,trajets,trajets_ok,nb_station_DRT,DRT,DRT_ok,WALK_to_station_DRT,WALK,somme,inaccessibilite,accessibilite
76,0,None,None,None,None,None,None,None,0.0,0.0,0.0
77,0,None,None,None,None,None,None,None,0.0,0.0,0.0
78,0,None,None,None,None,None,None,None,0.0,0.0,0.0
79,0,None,None,None,None,None,None,None,0.0,0.0,0.0
80,20,17,0,0,0,0,0,17,185415.20880000002,9270.760440000002,0.00010786601665224345
81,34,27,0,0,0,0,0,27,322392.5580000001,9482.134058823533,0.00010546149145291372
82,43,34,0,0,0,0,0,34,375692.88959999994,8737.043944186045,0.00011445518717637186
83,50,40,6,0,0,0,0,40,394948.8324000002,7898.9766480000035,0.00012659867784938912
84,62,52,6,0,0,0,0,52,503801.72760000016,8125.834316129035,0.000123064286213059
85,78,67,7,0,0,0,0,67,638411.6243999999,8184.764415384613,0.0001221782264276703
86,83,72,7,0,0,0,0,72,655156.0596,7893.4465012048195,0.00012668737285384332
87,84,71,5,0,0,0,0,71,632554.3812000001,7530.409300000001,0.0001327949066460438
88,95,81,4,0,0,0,0,81,659323.4903999998,6940.247267368419,0.00014408708529763621
89,94,83,5,0,0,0,0,83,652012.14,6936.2993617021275,0.00014416909476562813
90,105,90,0,0,0,0,0,90,721352.4744000001,6870.023565714287,0.00014555990826445274
91,119,18,0,0,0,0,0,18,794773.6200000001,6678.769915966387,0.0001497281703939796
92,132,115,0,0,0,0,0,115,920481.7476000008,6973.346572727279,0.0001434031694209771
93,151,135,22,0,0,0,0,135,1083731.2727999997,7177.02829668874,0.00013933343421000156
94,168,151,28,0,0,0,0,151,1239125.8739999998,7375.749249999999,0.0001355794463864129
95,184,None,None,None,None,None,None,None,1475056.0548000003,8016.608993478262,0.0001247410221470859
96,206,184,4,0,0,0,0,184,1679365.9643999995,8152.261963106794,0.00012266534178189043
97,220,200,47,0,0,0,0,200,1653849.8160000003,7517.499163636365,0.00013302296125780743
98,222,202,49,0,0,0,0,202,1721369.4371999996,7753.916383783782,0.00012896708585758784
99,239,218,55,0,0,0,0,218,1921966.0920000002,8041.699129707114,0.000124351829615941
100,246,230,53,0,0,0,0,230,2049188.0724000002,8330.032814634147,0.00012004754630056277
101,240,230,61,0,0,0,0,230,1982008.9199999995,8258.370499999997,0.00012108926331169088
102,229,220,1,0,0,0,0,220,2137059.0756000006,9332.135701310046,0.00010715660723403538
103,217,209,3,0,0,0,0,209,2063335.1279999998,9508.456811059907,0.00010516953695754654
104,192,185,3,0,0,0,0,185,1842603.006,9596.89065625,0.00010420041613673564
105,177,173,4,0,0,0,0,173,1746198.6143999994,9865.528894915251,0.00010136304000035981
106,156,153,4,0,0,0,0,153,1600399.5803999996,10258.971669230767,9.747565664882877e-05
107,122,None,None,None,None,None,None,None,1292244.3407999997,10592.16672786885,9.440939004188056e-05
