centroid,nb_destinations,trajets,trajets_ok,nb_station_DRT,DRT,DRT_ok,WALK_to_station_DRT,WALK,somme,somme_moyennée,accessibilite
0,16,14,0,0,0,0,0,14,145302.2196,9081.388725,6.88220732451908e-06
1,27,22,0,0,0,0,0,22,244999.16880000004,9074.04328888889,4.081646500671719e-06
9,102,1,0,0,0,0,0,1,688983.7739999995,6754.742882352936,1.4514129907506367e-06
10,107,None,None,None,None,None,None,None,721314.7643999999,6741.25948037383,1.3863573149397747e-06
11,109,92,4,0,0,0,0,92,738160.9739999997,6772.119027522933,1.35471805638969e-06
12,115,101,7,0,0,0,0,101,800406.0708000001,6960.0527895652185,1.2493658362692167e-06
13,117,103,5,0,0,0,0,103,877897.7171999998,7503.399292307691,1.1390848619466032e-06
14,129,115,6,0,0,0,0,115,1061227.5132000002,8226.569869767443,9.423050077024707e-07
40,18,15,0,0,0,0,0,15,164446.4892,9135.916066666667,6.081005467886875e-06
41,30,24,0,0,0,0,0,24,280990.0296,9366.33432,3.5588451356211395e-06
49,99,None,None,None,None,None,None,None,664830.912,6715.463757575758,1.5041418531393437e-06
50,115,95,0,0,0,0,0,95,752953.2527999996,6547.419589565214,1.3281036987107901e-06
51,117,97,0,0,0,0,0,97,771701.3963999997,6595.738430769228,1.2958380076348407e-06
52,123,108,5,0,0,0,0,108,833655.0288000002,6777.683160975612,1.1995369372862107e-06
89,94,83,5,0,0,0,0,83,652012.14,6936.2993617021275,1.533713774102427e-06
90,105,90,0,0,0,0,0,90,721352.4744000001,6870.023565714287,1.3862848406138355e-06
91,119,18,0,0,0,0,0,18,794773.6200000001,6678.769915966387,1.2582199192771395e-06
92,132,115,0,0,0,0,0,115,920481.7476000008,6973.346572727279,1.0863876471286144e-06
96,206,184,4,150,150,0,0,34,1679365.9643999995,8152.261963106794,5.954628241839342e-07
97,220,200,47,17,17,0,0,183,1653849.8160000003,7517.499163636365,6.046498238991247e-07
98,222,202,49,20,20,0,0,182,1721369.4371999996,7753.916383783782,5.809328191783236e-07
99,239,218,55,32,32,0,0,186,1921966.0920000002,8041.699129707114,5.20300542326113e-07
129,99,89,7,0,0,0,0,89,728471.7684,7358.30069090909,1.3727367941744387e-06
130,110,100,9,0,0,0,0,100,768664.3991999996,6987.858174545451,1.3009578706139724e-06
131,115,105,10,0,0,0,0,105,739430.7264,6429.832403478261,1.352391730958504e-06
132,143,18,0,0,0,0,0,18,994640.2680000002,6955.52634965035,1.0053886135243418e-06
136,244,216,0,184,184,0,0,32,1921073.5523999997,7873.252263934425,5.205422763489189e-07
137,265,239,46,0,0,0,0,239,2000783.0339999988,7550.124656603769,4.998043181127858e-07
138,292,264,11,224,224,0,0,40,2509099.8888000017,8592.80783835617,3.9854929828172705e-07
139,315,290,69,4,4,0,0,286,2518730.338800002,7995.969329523816,3.9702543166110815e-07
176,285,253,0,253,253,0,0,0,2309330.6123999995,8102.9144294736825,4.330259143625771e-07
177,314,282,0,282,282,0,0,0,2604054.103199998,8293.165933757955,3.840165988760171e-07
178,327,300,15,0,0,0,0,300,2714214.0984000005,8300.348924770644,3.6843077360385426e-07
179,353,317,77,4,4,0,0,313,2703583.2756,7658.876134844192,3.6987948883434055e-07
216,321,292,12,5,5,0,0,287,2557167.3144000014,7966.253315887855,3.9105771232440226e-07
217,344,314,96,0,0,0,0,314,2365223.6747999997,6875.650217441859,4.2279299444462003e-07
218,363,325,15,322,322,15,0,3,2911869.5388000016,8021.679170247939,3.4342197913581863e-07
219,387,343,16,339,339,16,0,0,3158139.6660000007,8160.567612403102,3.1664210761982173e-07
260,380,287,0,0,0,0,0,287,2974052.1048,7826.452907368421,3.3624158715512766e-07
261,378,337,152,1,1,0,0,336,2488141.637999999,6582.385285714283,4.0190638054022245e-07
262,379,336,149,1,1,0,0,335,2542376.2836,6708.116843271769,3.933328069690777e-07
263,355,315,140,0,0,0,0,315,2344040.3628,6602.930599436619,4.2661381427983666e-07
298,411,360,117,0,0,0,0,360,2716487.974799998,6609.459792700725,3.6812237318062313e-07
299,406,354,117,0,0,0,0,354,2684910.9119999986,6613.081064039406,3.7245183649505033e-07
300,395,346,152,0,0,0,0,346,2587588.2972000013,6550.856448607598,3.8646024218075504e-07
301,380,333,160,0,0,0,0,333,2301731.8115999983,6057.1889778947325,4.3445548041710036e-07
302,377,330,123,0,0,0,0,330,2480206.1171999983,6578.796066843497,4.0319229642451615e-07
303,380,336,8,0,0,0,0,336,2616246.852000002,6884.8601368421105,3.822269290971322e-07
333,262,236,14,2,2,0,0,234,2168200.8384000002,8275.57571908397,4.612118869661258e-07
334,315,286,12,1,1,0,0,284,2597090.684399999,8244.73233142857,3.8504623885747293e-07
335,376,328,0,0,0,0,0,328,3129904.1196000003,8324.213084042554,3.1949860500129293e-07
336,407,349,0,0,0,0,0,349,3295058.6616,8095.967227518428,3.0348473356599496e-07
338,420,366,12,0,0,0,0,366,3045687.653999999,7251.63727142857,3.2833307732218303e-07
339,420,365,119,0,0,0,0,365,2680928.813999999,6383.1638428571405,3.7300505510550286e-07
340,408,353,151,11,11,0,0,342,2489639.7107999995,6102.058114705881,4.0166454433628413e-07
341,379,327,122,11,11,0,0,316,2262837.678000001,5970.547963060688,4.4192299329390945e-07
342,359,309,80,0,0,0,0,309,2289859.8564000004,6378.439711420614,4.3670794839477576e-07
343,368,322,70,0,0,0,0,322,2226783.5207999996,6051.042176086956,4.4907822905063423e-07
373,272,241,0,241,241,0,0,0,2368272.9864000003,8706.885979411765,4.2224861987726126e-07
374,324,289,0,289,289,0,0,0,2793596.538,8622.211537037037,3.57961497445126e-07
375,392,340,0,0,0,0,0,340,3379592.9615999963,8621.41061632652,2.9589362132135916e-07
376,426,370,12,2,2,0,0,364,3415997.188799997,8018.772743661964,2.927402877492675e-07
377,424,368,142,6,6,0,0,362,2605021.7544000004,6143.919232075473,3.8387395357100355e-07
378,439,380,12,0,0,0,0,380,3143435.8512,7160.446130296127,3.181232407266247e-07
379,435,378,13,0,0,0,0,378,2946210.6132000014,6772.8979613793135,3.3941904747734874e-07
380,400,346,105,11,11,0,0,335,2442792.7848000014,6106.9819620000035,4.0936751009843554e-07
381,376,322,133,0,11,0,-11,311,2076040.6572000005,5521.384726595746,4.816861348701721e-07
382,360,305,105,0,0,0,0,305,2066657.1444000008,5740.714290000003,4.838731972111047e-07
383,349,300,81,0,0,0,0,300,1931528.5464000017,5534.46574899714,5.177246807269858e-07
384,368,325,68,0,0,0,0,325,2101459.2096000016,5710.4869826087,4.7585981942059353e-07
385,380,336,23,0,0,0,0,336,2395813.4100000006,6304.772131578949,4.173947753301872e-07
413,280,247,0,0,0,0,0,247,2493398.0903999982,8904.993179999994,4.010591023752557e-07
414,339,302,0,0,0,0,0,302,2986934.2199999983,8811.015398230084,3.347914370876238e-07
415,405,351,12,1,1,0,0,350,3494902.646399999,8629.389250370368,2.8613100311394136e-07
416,427,371,14,2,2,0,0,367,3447561.080399997,8073.913537236527,2.900601256015968e-07
417,448,384,13,6,6,0,0,378,3402489.832800001,7594.843376785716,2.939024212093157e-07
418,468,407,14,0,0,0,0,407,3318356.0604000017,7090.504402564106,3.0135403850527656e-07
419,448,393,13,0,0,0,0,393,2942136.3612000025,6567.268663392862,3.398890728477766e-07
420,421,360,0,0,0,0,0,360,2752249.7579999985,6537.410351543939,3.6333911814990175e-07
422,348,292,84,0,0,0,0,292,2032100.8464000009,5839.3702482758645,4.92101561677692e-07
423,320,266,71,0,0,0,0,266,1883744.5943999996,5886.701857499998,5.308575286547881e-07
424,351,303,58,0,0,0,0,303,2049967.7519999996,5840.363965811965,4.878125516971548e-07
425,380,335,34,0,0,0,0,335,2284033.1124,6010.61345368421,4.378220239325809e-07
453,277,239,0,0,0,0,0,239,2438732.180399999,8804.087293862813,4.100491263603947e-07
454,376,324,0,0,0,0,0,324,3404542.7976,9054.635100000001,2.937251958485998e-07
455,421,359,0,0,0,0,0,359,3667393.0092,8711.147290261282,2.726732579495587e-07
456,439,377,13,3,3,0,0,374,3570430.268400001,8133.0985612756285,2.8007828884111636e-07
457,456,None,None,None,None,None,None,None,3440598.5796,7545.17232368421,2.9064710016716305e-07
458,454,None,None,None,None,None,None,None,3211431.055199999,7073.636685462553,3.1138765952355865e-07
459,441,384,0,0,0,0,0,384,2916597.7992000016,6613.600451700684,3.428652384892739e-07
460,435,377,0,88,88,0,0,289,2717028.219600001,6246.041884137933,3.6804917695967816e-07
462,367,307,79,0,0,0,0,307,2136460.026000001,5821.416964577659,4.680639880130383e-07
463,337,288,75,0,0,0,0,288,2130689.456400002,6322.520642136504,4.6933165084019e-07
464,331,289,58,0,0,0,0,289,2094272.557200001,6327.107423564958,4.774927678644557e-07
465,359,314,54,0,0,0,0,314,2120011.8131999993,5905.325384958215,4.7169548479570725e-07
495,432,365,0,0,0,0,0,365,3812382.3791999985,8824.959211111107,2.62303174376187e-07
496,435,370,0,370,370,0,0,0,3548858.7587999976,8158.295997241374,2.817807266970911e-07
497,449,None,None,None,None,None,None,None,3449639.305200001,7682.93831893096,2.898853797533544e-07
498,452,392,0,1,1,0,0,391,3213910.1316000014,7110.420645132746,3.111474680538636e-07
499,448,392,101,1,1,0,0,391,2805795.651599999,6262.936722321427,3.564051428441526e-07
500,447,390,68,1,1,0,0,389,2745143.4516000017,6141.260518120809,3.642796879766527e-07
501,430,368,64,0,0,0,0,368,2560898.057999999,5955.576879069765,3.9048801527889655e-07
502,385,332,85,0,0,0,0,332,2315158.0248000016,6013.397467012991,4.319359582749806e-07
503,352,308,97,0,0,0,0,308,2150663.9399999995,6109.840738636362,4.6497269117740463e-07
504,337,296,106,0,0,0,0,296,2067367.028399999,6134.620262314537,4.837070468198052e-07
505,342,302,42,0,0,0,0,302,2226230.7108000014,6509.446522807021,4.4918974262135106e-07
535,432,363,0,0,0,0,0,363,3878053.5695999996,8976.975855555555,2.5786131677988776e-07
536,442,370,0,0,0,0,0,370,3673094.1311999997,8310.167717647058,2.722500334270769e-07
537,464,390,0,0,0,0,0,390,3654732.4883999997,7876.578638793103,2.7361783746798626e-07
540,466,401,71,18,18,0,0,383,2914652.247600002,6254.61855708155,3.430941035327371e-07
541,461,389,0,0,0,0,0,389,2793978.0059999996,6060.689817787418,3.579126241697409e-07
542,409,357,1,0,0,0,0,357,2624473.7783999997,6416.806304156478,3.8102876402508624e-07
549,337,295,15,0,0,0,0,295,2517474.351600001,7470.250301483683,3.9722351068420694e-07
550,309,269,18,0,0,0,0,269,2471647.4951999993,7998.859207766988,4.0458843825506057e-07
551,275,239,24,0,0,0,0,239,2364292.269600001,8597.426434909095,4.229595523607508e-07
552,245,205,0,0,0,0,0,205,2301199.4796,9392.650937142858,4.3455598215840996e-07
580,481,405,0,1,1,0,0,404,3217700.749199998,6689.606547193343,3.1078092027315636e-07
581,499,411,0,0,0,0,0,411,3152881.136399996,6318.399070941876,3.1717021883730575e-07
582,475,405,9,5,5,0,0,400,2922655.02,6152.9579368421055,3.421546481390746e-07
