stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
289,STGRE2,ST-GEORGES-DE-DIDONNE - Créa,ARRET DU RESEAU CARA BUS .,45.5998259668536,-0.994854168935264
341,STGREL,ST-GEORGES-DE-DIDONNE - Créa,ARRET DU RESEAU CARA BUS .,45.5995233720352,-0.994764231951841
313,STP1A1,ST-PALAIS-SUR-MER - Commerces,ARRET DU RESEAU CARA BUS .,45.651606,-1.084212
318,STP1A2,ST-PALAIS-SUR-MER - Commerces,ARRET DU RESEAU CARA BUS .,45.651371,-1.084011
772,STP2A1,ST-PALAIS-SUR-MER - Clématites,ARRET DU RESEAU CARA BUS .,45.65762,-1.07672
773,STP2A2,ST-PALAIS-SUR-MER - Clématites,ARRET DU RESEAU CARA BUS .,45.65753,-1.0766
769,STP2B1,ST-PALAIS-SUR-MER - Auture,ARRET DU RESEAU CARA BUS .,45.6474653351013,-1.10994757860413
768,STP2B2,ST-PALAIS-SUR-MER - Auture,ARRET DU RESEAU CARA BUS .,45.6474339619905,-1.11016991141201
312,STP3A1,ST-PALAIS-SUR-MER - Courlay,ARRET DU RESEAU CARA BUS .,45.6529903724578,-1.0778185505526
319,STP3A2,ST-PALAIS-SUR-MER - Courlay ,ARRET DU RESEAU CARA BUS .,45.6529091406752,-1.0778651210195
781,STP4A1,ST-PALAIS-SUR-MER - Grande Côte,ARRET DU RESEAU CARA BUS .,45.6520739956891,-1.1216544349329
780,STP4A2,ST-PALAIS-SUR-MER - Grande Côte,ARRET DU RESEAU CARA BUS .,45.6523655107544,-1.12178493765671
774,STP5A1,ST-PALAIS-SUR-MER - Clocher,ARRET DU RESEAU CARA BUS .,45.6416069189396,-1.08569381740685
775,STP5A2,ST-PALAIS-SUR-MER - Clocher,ARRET DU RESEAU CARA BUS .,45.6411403439417,-1.08526138446657
779,STP6A1,ST-PALAIS-SUR-MER - Gois ,ARRET DU RESEAU CARA BUS .,45.6640506810427,-1.07236559501205
778,STP6A2,ST-PALAIS-SUR-MER - Gois ,ARRET DU RESEAU CARA BUS .,45.6645463872992,-1.07257108619024
776,STP7A1,ST-PALAIS-SUR-MER - Combots ,ARRET DU RESEAU CARA BUS .,45.6664746313271,-1.14015202163744
777,STP7A2,ST-PALAIS-SUR-MER - Combots ,ARRET DU RESEAU CARA BUS .,45.6663214560968,-1.14004675991559
315,STP8A1,ST-PALAIS-SUR-MER - Mouillères,ARRET DU RESEAU CARA BUS .,45.647156,-1.098539
316,STP8A2,ST-PALAIS-SUR-MER - Mouillères,ARRET DU RESEAU CARA BUS .,45.646968,-1.098241
