route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id
126,4,137,VAUX-SUR-MER - Val Lumière,,0,
134,4,138,ROYAN - Perche,,1,
133,4,139,ROYAN - Gare ,,1,
128,4,140,RONCE - Casino,,0,
31,4,141,ROYAN - Cordouan,,0,
172,4,142,SAUJON - Hopiteau,,1,
133,4,143,MEDIS - Aérodrome,,0,
32,4,144,ST-GEORGES-DE-DIDONNE - Parasols,,1,
134,4,145,ROYAN - Cordouan,,0,
32,4,146,ST-PALAIS-SUR-MER - Vallet,,0,
126,4,147,ROYAN - Gare ,,1,
133,4,148,ROYAN - Gare ,,1,
31,4,149,ST-SULPICE-DE-ROYAN - Centre,,1,
34,4,150,ROYAN - Gare ,,0,
126,4,151,VAUX-SUR-MER - Val Lumière,,0,
133,4,152,MEDIS - Aérodrome,,0,
172,4,153,SAUJON - Gare,,0,
103,7,154,LES MATHES - Palmyre OT,,0,
134,4,155,ROYAN - Perche,,1,
133,4,156,VAUX-SUR-MER - Val Lumière,,1,
31,4,157,ROYAN - Cordouan,,0,
33,4,158,ROYAN - Gare ,,0,
36,4,159,ROYAN - Gare ,,0,
37,4,160,ROYAN - Gare ,,0,
35,4,161,ROYAN - Gare ,,0,
32,4,162,ST-GEORGES-DE-DIDONNE - Parasols,,1,
134,4,163,ROYAN - Cordouan,,0,
161,4,164,ETAULES - Eglise,,0,
32,4,165,ST-PALAIS-SUR-MER - Vallet,,0,
126,4,166,ROYAN - Gare ,,1,
133,4,167,MEDIS - Aérodrome,,0,
3,1,168,TALMONT-SUR-GIRONDE - Place,,1,
199,1,169,SAUJON - Collège,,1,
31,4,170,ST-SULPICE-DE-ROYAN - Centre,,1,
1,1,171,SEMUSSAC - Rivière,,1,
2,1,172,SEMUSSAC - ZA,,1,
4,1,173,BOUTENAC-TOUVENT - Touvent,,1,
5,1,174,MORTAGNE-SUR-GIRONDE - OT,,1,
6,1,175,THAIMS - Bourg,,1,
185,1,176,SEMUSSAC - Trignac,,1,
186,1,177,L'EGUILLE - Port,,1,
187,1,178,SABLONCEAUX - Saint André,,1,
188,1,179,SABLONCEAUX - Maulin,,1,
189,1,180,SAINT-ROMAIN-DE-BENET - Vivier,,1,
190,1,181,LE CHAY - Combe à Mercier,,1,
198,1,182,CORME-ECLUSE - Grenouille,,1,
33,4,183,ARVERT - Halle,,1,
35,4,184,SAUJON - Richelieu,,1,
36,4,185,COZES - Gare,,1,
37,4,186,MESCHERS-SUR-GIRONDE - Longée,,1,
126,4,187,VAUX-SUR-MER - Grosse Pierre,,0,
34,4,188,LA TREMBLADE - Ronce Casino,,1,
172,4,189,SAUJON - Hopiteau,,1,
134,4,190,ROYAN - Perche,,1,
133,4,191,VAUX-SUR-MER - Val Lumière,,1,
104,1,192,LA TREMBLADE - Collège,,1,
31,4,193,ROYAN - Gare ,,0,
103,7,194,ROYAN - Gare ,,1,
32,4,195,ROYAN - Gare ,,0,
11,1,196,ST-AUGUSTIN - Lafont,,1,
12,1,197,CHAILLEVETTE - Brandes,,1,
13,1,198,ETAULES - Pirouette,,1,
14,1,199,LES MATHES - Palmyre Zoo,,1,
15,1,200,ARVERT - Mairie,,1,
16,1,201,ETAULES - OT,,1,
49,1,202,ARVERT - Dirée,,1,
53,1,203,ST-PALAIS-SUR-MER - Guerets,,1,
54,1,204,ST-PALAIS-SUR-MER - Peupliers,,1,
55,1,205,BREUILLET - Montils,,1,
55,1,206,BREUILLET - Marché,,1,
56,1,207,ST-SULPICE-DE-ROYAN - Breuille,,1,
57,1,208,MORNAC-SUR-SEUDRE - Coquetterie,,1,
59,1,209,ROYAN - Cordouan,,1,
113,1,210,ST-GEORGES-DE-DIDONNE - Parasols,,1,
132,1,211,ROYAN - Cordouan,,1,
132,1,212,ROYAN - Gare ,,1,
158,1,213,ST-SULPICE-DE-ROYAN - Sauvages,,1,
32,4,214,ROYAN - Gare ,,1,
126,4,215,ROYAN - Gare ,,1,
132,1,216,ROYAN - Gare ,,1,
134,4,217,ROYAN - Gare ,,0,
132,1,218,ROYAN - Gare ,,1,
161,4,219,MARENNES - Place Carnot,,1,
133,4,220,ROYAN - Gare ,,0,
132,1,221,ROYAN - Gare ,,1,
132,1,222,ROYAN - Gare ,,1,
132,1,223,ROYAN - Cordouan,,1,
132,1,224,ROYAN - Cordouan,,1,
128,4,225,SAUJON - Gare,,1,
31,1,226,ST-SULPICE-DE-ROYAN - Centre,,1,
32,1,227,ST-PALAIS-SUR-MER - Vallet,,0,
32,1,228,ST-GEORGES-DE-DIDONNE - Parasols,,1,
33,1,229,LES MATHES - Eglise,,1,
34,1,230,LA TREMBLADE - Ronce Casino,,1,
35,1,231,SAUJON - Richelieu,,1,
36,1,232,COZES - Gare,,1,
37,1,233,MESCHERS-SUR-GIRONDE - Longée,,1,
133,4,234,VAUX-SUR-MER - Val Lumière,,1,
172,4,235,SAUJON - Gare,,0,
195,1,236,SAUJON - Richelieu,,1,
34,4,237,ROYAN - Gare ,,0,
39,1,238,ST-SULPICE-DE-ROYAN - Breuille,,1,
40,1,239,ARVERT - Fouilloux,,1,
42,1,240,CHAILLEVETTE - Château d'eau,,1,
43,1,241,ST-PALAIS-SUR-MER - Maine Gaudin,,1,
44,1,242,CHAILLEVETTE - Cabane,,1,
45,1,243,L'EGUILLE - Port,,1,
46,1,244,SAUJON - Richelieu,,1,
47,1,245,SAUJON - Berlan,,1,
48,1,246,GREZAC - Brunets,,1,
50,1,247,COZES - Garde,,1,
51,1,248,CORME-ECLUSE - Grenouille,,1,
126,4,249,VAUX-SUR-MER - Val Lumière,,0,
41,1,250,ARVERT - Dirée,,1,
128,4,251,SAUJON - Gare,,0,
33,2,252,ROYAN - Gare ,,0,
33,5,253,ROYAN - Gare ,,0,
134,4,254,ROYAN - Cordouan,,0,
133,4,255,MEDIS - Aérodrome,,0,
192,1,256,ST-AUGUSTIN - Breuils,,1,
193,1,257,LES MATHES - Cimetière,,1,
194,1,258,CHAILLEVETTE - Jadeau,,1,
196,1,259,SABLONCEAUX - Vinaigrière,,1,
197,1,260,SAINT-ROMAIN-DE-BENET - Ecole,,1,
36,4,261,ROYAN - Gare ,,0,
37,4,262,ROYAN - Gare ,,0,
35,4,263,ROYAN - Gare ,,0,
32,4,264,ST-GEORGES-DE-DIDONNE - Parasols,,1,
172,4,265,SAUJON - Hopiteau,,1,
32,4,266,ST-PALAIS-SUR-MER - Vallet,,0,
126,4,267,ROYAN - Gare ,,1,
191,1,268,BOUTENAC-TOUVENT - Mairie,,1,
31,4,269,ROYAN - Cordouan,,0,
134,4,270,ROYAN - Perche,,1,
103,7,271,LES MATHES - Palmyre OT,,0,
133,4,272,VAUX-SUR-MER - Val Lumière,,1,
34,4,273,LA TREMBLADE - Ronce Casino,,1,
35,4,274,SAUJON - Richelieu,,1,
36,4,275,COZES - Gare,,1,
37,4,276,MESCHERS-SUR-GIRONDE - Longée,,1,
126,4,277,VAUX-SUR-MER - Val Lumière,,0,
128,4,278,SAUJON - Gare,,1,
134,4,279,ROYAN - Cordouan,,0,
31,4,280,ST-SULPICE-DE-ROYAN - Centre,,1,
133,4,281,MEDIS - Aérodrome,,0,
161,4,282,MARENNES - Place Carnot,,1,
32,4,283,ST-GEORGES-DE-DIDONNE - Parasols,,1,
172,4,284,SAUJON - Gare,,0,
161,4,285,ETAULES - Eglise,,0,
32,4,286,ST-PALAIS-SUR-MER - Vallet,,0,
126,4,287,ROYAN - Gare ,,1,
31,4,288,ROYAN - Cordouan,,0,
133,4,289,ROYAN - Gare ,,1,
134,4,290,ROYAN - Perche,,1,
34,2,291,ROYAN - Gare ,,0,
34,5,292,ROYAN - Gare ,,0,
126,4,293,VAUX-SUR-MER - Val Lumière,,0,
133,4,294,MEDIS - Aérodrome,,0,
134,4,295,ROYAN - Cordouan,,0,
31,4,296,ROYAN - Gare Intermodale - arrivée,,1,
33,2,297,ROYAN - Gare ,,0,
33,5,298,ROYAN - Gare ,,0,
37,2,299,ROYAN - Gare ,,0,
37,5,300,ROYAN - Gare ,,0,
31,4,301,ROYAN - Cordouan,,0,
35,4,302,ROYAN - Gare ,,0,
36,2,303,ROYAN - Gare ,,0,
36,5,304,ROYAN - Gare ,,0,
32,4,305,ST-GEORGES-DE-DIDONNE - Parasols,,1,
32,4,306,ST-PALAIS-SUR-MER - Vallet,,0,
126,4,307,ROYAN - Gare ,,1,
61,2,308,VAUX-SUR-MER - Courtot,,1,
62,2,309,ST-PALAIS-SUR-MER - Châtenet,,1,
63,2,310,ST-SULPICE-DE-ROYAN - Aubat,,1,
64,2,311,ST-SULPICE-DE-ROYAN - Crèche,,1,
132,2,312,ROYAN - Gare ,,1,
132,2,313,ROYAN - Gare ,,1,
133,4,314,VAUX-SUR-MER - Val Lumière,,1,
103,7,315,ROYAN - Gare ,,1,
134,4,316,ROYAN - Perche,,1,
31,4,317,ST-SULPICE-DE-ROYAN - Centre,,1,
33,4,318,LES MATHES - Eglise,,1,
34,4,319,LA TREMBLADE - Ronce Casino,,1,
35,4,320,SAUJON - Richelieu,,1,
36,4,321,COZES - Gare,,1,
37,4,322,MESCHERS-SUR-GIRONDE - Longée,,1,
126,4,323,VAUX-SUR-MER - Val Lumière,,0,
128,4,324,RONCE - Casino,,0,
134,4,325,ROYAN - Cordouan,,0,
128,4,326,COZES - Gare,,1,
199,2,327,SAUJON - Collège,,1,
161,4,328,ETAULES - Eglise,,0,
133,4,329,MEDIS - Aérodrome,,0,
31,4,330,ROYAN - Cordouan,,0,
172,4,331,SAUJON - Hopiteau,,1,
185,2,332,SEMUSSAC - Trignac,,1,
186,2,333,L'EGUILLE - Port,,1,
187,2,334,SABLONCEAUX - Saint André,,1,
188,2,335,SABLONCEAUX - Maulin,,1,
189,2,336,SAINT-ROMAIN-DE-BENET - Vivier,,1,
190,2,337,LE CHAY - Combe à Mercier,,1,
32,4,338,ST-GEORGES-DE-DIDONNE - Parasols,,1,
104,2,339,LA TREMBLADE - Collège,,1,
103,7,340,LES MATHES - Palmyre OT,,0,
32,4,341,ST-PALAIS-SUR-MER - Vallet,,0,
126,4,342,ROYAN - Gare ,,1,
3,2,343,TALMONT-SUR-GIRONDE - Place,,1,
11,2,344,ST-AUGUSTIN - Lafont,,1,
12,2,345,CHAILLEVETTE - Brandes,,1,
13,2,346,ETAULES - Pirouette,,1,
14,2,347,LES MATHES - Palmyre Zoo,,1,
15,2,348,ARVERT - Mairie,,1,
16,2,349,ETAULES - OT,,1,
132,2,350,ROYAN - Cordouan,,1,
132,2,351,ROYAN - Cordouan,,1,
132,2,352,ROYAN - Cordouan,,1,
132,2,353,ROYAN - Gare ,,1,
132,2,354,ROYAN - Gare ,,1,
132,2,355,ROYAN - Gare ,,1,
132,2,356,ROYAN - Gare ,,1,
132,2,357,ROYAN - Gare ,,1,
132,2,358,ROYAN - Cordouan,,1,
158,2,359,ST-SULPICE-DE-ROYAN - Sauvages,,1,
53,2,360,ST-PALAIS-SUR-MER - Guerets,,1,
54,2,361,ST-PALAIS-SUR-MER - Peupliers,,1,
55,2,362,BREUILLET - Montils,,1,
55,2,363,BREUILLET - Marché,,1,
56,2,364,ST-SULPICE-DE-ROYAN - Breuille,,1,
57,2,365,MORNAC-SUR-SEUDRE - Coquetterie,,1,
59,2,366,ROYAN - Cordouan,,1,
132,2,367,ROYAN - Gare ,,1,
132,2,368,ROYAN - Gare ,,1,
133,4,369,VAUX-SUR-MER - Val Lumière,,1,
134,4,370,ROYAN - Perche,,1,
31,4,371,ST-SULPICE-DE-ROYAN - Centre,,1,
34,2,372,ROYAN - Gare ,,0,
34,5,373,ROYAN - Gare ,,0,
5,2,374,MORTAGNE-SUR-GIRONDE - OT,,1,
172,4,375,SAUJON - Gare,,0,
39,2,376,ST-SULPICE-DE-ROYAN - Breuille,,1,
40,2,377,ARVERT - Fouilloux,,1,
41,2,378,ARVERT - Dirée,,1,
43,2,379,ST-PALAIS-SUR-MER - Maine Gaudin,,1,
45,2,380,L'EGUILLE - Port,,1,
46,2,381,SAUJON - Richelieu,,1,
47,2,382,SAUJON - Berlan,,1,
50,2,383,COZES - Garde,,1,
51,2,384,CORME-ECLUSE - Grenouille,,1,
33,3,385,LES MATHES - Eglise,,1,
34,2,386,LA TREMBLADE - Ronce Casino,,1,
34,5,387,LA TREMBLADE - Ronce Casino,,1,
35,4,388,SAUJON - Richelieu,,1,
36,4,389,COZES - Gare,,1,
37,4,390,MESCHERS-SUR-GIRONDE - Longée,,1,
126,4,391,VAUX-SUR-MER - Grosse Pierre,,0,
2,2,392,SEMUSSAC - ZA,,1,
4,2,393,BOUTENAC-TOUVENT - Touvent,,1,
6,2,394,THAIMS - Bourg,,1,
198,2,395,CORME-ECLUSE - Grenouille,,1,
1,2,396,SEMUSSAC - Rivière,,1,
42,2,397,CHAILLEVETTE - Château d'eau,,1,
44,2,398,CHAILLEVETTE - Cabane,,1,
48,2,399,GREZAC - Brunets,,1,
134,4,400,ROYAN - Cordouan,,0,
31,4,401,ROYAN - Cordouan,,0,
133,4,402,MEDIS - Aérodrome,,0,
33,2,403,ROYAN - Gare ,,0,
33,5,404,ROYAN - Gare ,,0,
103,7,405,ROYAN - Gare ,,1,
128,4,406,SAUJON - Gare,,1,
37,4,407,ROYAN - Gare ,,0,
161,4,408,MARENNES - Place Carnot,,1,
35,4,409,ROYAN - Gare ,,0,
32,4,410,ST-GEORGES-DE-DIDONNE - Parasols,,1,
172,4,411,SAUJON - Hopiteau,,1,
