destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
399,-2820.0,WALK,14,607,None,5521,None,None,8395.5996
400,16140.0,WALK,29,607,None,5521,None,None,8398.506
2637,15840.0,WALK,32,607,None,5521,None,None,9974.316
2638,-2580.0,WALK,22,607,None,5521,None,None,9960.21
2643,15240.0,WALK,38,607,None,5521,None,None,8702.1564
2644,-1920.0,WALK,12,607,None,5521,None,None,8694.148799999999
407,-4740.0,WALK,16,607,None,5521,None,None,10188.474
408,-2340.0,WALK,43,607,None,5521,None,None,10175.620799999999
410,-2400.0,WALK,28,607,None,5521,None,None,10004.2728
409,15720.0,WALK,32,607,None,5521,None,None,10013.0016
412,-2580.0,WALK,11,607,None,5521,None,None,9340.9332
411,15180.0,WALK,3,607,None,5521,None,None,9350.416799999999
413,-4080.0,WALK,19,607,None,5521,None,None,9055.5552
414,-1980.0,WALK,14,607,None,5521,None,None,9043.2768
415,15120.0,WALK,3,607,None,5521,None,None,8102.731199999999
416,-1800.0,WALK,10,607,None,5521,None,None,8100.1404
2608,-1860.0,WALK,6,607,None,5521,None,None,8638.0176
2609,15180.0,WALK,3,607,None,5521,None,None,8651.4804
155,-2640.0,WALK,28,607,None,5521,None,None,10576.3968
17,15540.0,WALK,20,607,None,5521,None,None,10582.431599999998
403,-1080.0,WALK,5,607,None,5521,None,None,9276.3828
404,-2520.0,WALK,28,607,None,5521,None,None,9251.9568
405,-1020.0,WALK,11,607,None,5521,None,None,9445.1304
406,-1200.0,WALK,16,607,None,5521,None,None,9441.1008
1267,-960.0,WALK,7,607,None,5521,None,None,9248.7912
1266,-1320.0,WALK,11,607,None,5521,None,None,9238.5744
159,-4680.0,WALK,19,607,None,5521,None,None,9825.3864
18,-2460.0,WALK,36,607,None,5521,None,None,9823.156799999999
2635,-600.0,WALK,28,607,None,5521,None,None,11186.6364
436,-3780.0,WALK,11,607,None,5521,None,None,11094.3432
437,19440.0,WALK,7,607,None,5521,None,None,11092.131599999999
452,-4260.0,WALK,19,607,None,5521,None,None,7924.914
454,-4080.0,WALK,30,607,None,5521,None,None,8851.2336
455,-2400.0,WALK,30,607,None,5521,None,None,8853.5352
456,-2520.0,WALK,5,607,None,5521,None,None,9793.4112
457,16140.0,WALK,32,607,None,5521,None,None,9804.0468
465,-4080.0,WALK,4,607,None,5521,None,None,8377.8348
464,-2040.0,WALK,6,607,None,5521,None,None,8399.351999999999
458,-3960.0,WALK,9,607,None,5521,None,None,10056.7548
459,19620.0,WALK,35,607,None,5521,None,None,10057.386
461,-2640.0,WALK,33,607,None,5521,None,None,10312.374
460,16380.0,WALK,43,607,None,5521,None,None,10314.8484
463,-4380.0,WALK,16,607,None,5521,None,None,8969.9328
462,-1920.0,WALK,10,607,None,5521,None,None,8965.712399999999
171,16500.0,WALK,32,607,None,5521,None,None,10901.442
23,-2700.0,WALK,32,607,None,5521,None,None,10908.007199999998
451,-3780.0,WALK,4,607,None,5521,None,None,10100.375999999998
24,-1800.0,WALK,6,607,None,5521,None,None,9228.0336
169,15480.0,WALK,8,607,None,5521,None,None,9223.512
526,-660.0,WALK,14,607,None,5521,None,None,9464.3484
527,-1800.0,WALK,11,607,None,5521,None,None,9448.5384
529,-720.0,WALK,13,607,None,5521,None,None,9336.7488
530,-2460.0,WALK,44,607,None,5521,None,None,9326.5116
161,-2100.0,WALK,29,607,None,5521,None,None,11605.7916
97,-3660.0,WALK,9,607,None,5521,None,None,11596.561199999998
534,-3780.0,WALK,30,607,None,5521,None,None,10574.047199999999
35,-3120.0,WALK,30,607,None,5521,None,None,10726.8324
163,-780.0,WALK,10,607,None,5521,None,None,9180.0648
165,-2220.0,WALK,13,607,None,5521,None,None,9195.36
607,11580.0,WALK,0,607,None,5521,None,None,5521.0464
656,-2820.0,WALK,32,607,None,5521,None,None,11839.6572
657,17340.0,WALK,19,607,None,5521,None,None,11831.076
568,12180.0,WALK,2,607,None,5521,None,None,9498.700799999999
567,12120.0,WALK,1,607,None,5521,None,None,9201.0492
566,6600.0,WALK,1,607,None,5521,None,None,9241.2552
560,12360.0,WALK,2,607,None,5521,None,None,8429.9688
559,-1740.0,WALK,28,607,None,5521,None,None,8424.9768
565,-1560.0,WALK,11,607,None,5521,None,None,9073.0032
564,-1680.0,WALK,6,607,None,5521,None,None,9088.4388
563,-1260.0,WALK,12,607,None,5521,None,None,8867.5176
562,-1140.0,WALK,11,607,None,5521,None,None,8885.3712
2660,-2220.0,WALK,42,607,None,5521,None,None,9224.9004
2661,19920.0,WALK,6,607,None,5521,None,None,9232.8432
558,14700.0,WALK,1,607,None,5521,None,None,8319.736799999999
157,14100.0,WALK,1,607,None,5521,None,None,8559.4296
139,-2280.0,WALK,12,607,None,5521,None,None,8414.548799999999
158,-1440.0,WALK,6,607,None,5521,None,None,8424.6552
