destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
383,-3660.0,WALK,22,140,None,5842,None,None,10578.908399999998
384,19380.0,WALK,3,140,None,5842,None,None,10586.397599999998
385,-3780.0,WALK,15,140,None,5842,None,None,11315.300399999998
386,480.0,WALK,14,140,None,5842,None,None,11318.2644
390,-3480.0,WALK,18,140,None,5842,None,None,9790.356
389,420.0,WALK,22,140,None,5842,None,None,9781.7496
394,0.0,WALK,15,140,None,5842,None,None,10583.063999999998
393,13620.0,WALK,9,140,None,5842,None,None,10571.8524
395,13380.0,WALK,1,140,None,5842,None,None,10575.0468
396,300.0,WALK,20,140,None,5842,None,None,10577.683200000001
188,300.0,WALK,19,140,None,5842,None,None,9523.0644
137,-3420.0,WALK,21,140,None,5842,None,None,9540.0684
15,120.0,WALK,13,140,None,5842,None,None,10604.042399999998
387,13560.0,WALK,2,140,None,5842,None,None,10594.8516
418,-540.0,WALK,18,140,None,5842,None,None,8295.6288
417,14160.0,WALK,11,140,None,5842,None,None,8293.5864
420,-3300.0,WALK,18,140,None,5842,None,None,9045.402
419,-480.0,WALK,15,140,None,5842,None,None,9038.0724
422,-120.0,WALK,24,140,None,5842,None,None,9942.648000000001
421,13800.0,WALK,19,140,None,5842,None,None,9935.332799999998
424,-3180.0,WALK,21,140,None,5842,None,None,7392.2424
423,-600.0,WALK,18,140,None,5842,None,None,7385.8308
426,-420.0,WALK,16,140,None,5842,None,None,9555.388799999999
425,14040.0,WALK,18,140,None,5842,None,None,9546.1332
189,13980.0,WALK,19,140,None,5842,None,None,9785.6556
20,-300.0,WALK,15,140,None,5842,None,None,9797.1648
476,-3360.0,WALK,22,140,None,5842,None,None,9697.716
475,19260.0,WALK,20,140,None,5842,None,None,9687.576
481,13920.0,WALK,2,140,None,5842,None,None,11663.749199999998
482,-3780.0,WALK,22,140,None,5842,None,None,11648.3244
622,-2700.0,WALK,22,140,None,5842,None,None,9658.888799999999
623,15300.0,WALK,2,140,None,5842,None,None,9622.7532
650,12660.0,WALK,2,140,None,5842,None,None,7029.6768
649,-120.0,WALK,20,140,None,5842,None,None,7022.075999999999
624,18360.0,WALK,5,140,None,5842,None,None,7730.1828000000005
625,-2280.0,WALK,18,140,None,5842,None,None,7740.937199999999
640,12780.0,WALK,3,140,None,5842,None,None,8497.2228
639,-240.0,WALK,22,140,None,5842,None,None,8487.2076
627,-2760.0,WALK,22,140,None,5842,None,None,9744.5052
626,15420.0,WALK,4,140,None,5842,None,None,9739.1772
638,-2220.0,WALK,15,140,None,5842,None,None,8299.8552
637,18300.0,WALK,3,140,None,5842,None,None,8302.0116
628,60.0,WALK,18,140,None,5842,None,None,6486.2735999999995
629,11640.0,WALK,1,140,None,5842,None,None,6488.9184
647,-2940.0,WALK,16,140,None,5842,None,None,8939.5752
648,-300.0,WALK,27,140,None,5842,None,None,8922.8004
631,-2940.0,WALK,12,140,None,5842,None,None,8250.6384
641,-3360.0,WALK,15,140,None,5842,None,None,6842.6328
642,180.0,WALK,19,140,None,5842,None,None,6836.3351999999995
633,-2520.0,WALK,19,140,None,5842,None,None,7355.2572
634,18600.0,WALK,3,140,None,5842,None,None,7373.1612000000005
644,11400.0,WALK,1,140,None,5842,None,None,7035.937199999999
645,0.0,WALK,21,140,None,5842,None,None,7012.098
635,-2880.0,WALK,24,140,None,5842,None,None,8589.4344
636,18720.0,WALK,5,140,None,5842,None,None,8599.232399999999
2633,120.0,WALK,19,140,None,5842,None,None,6173.166
621,-3060.0,WALK,24,140,None,5842,None,None,7836.597599999999
620,-180.0,WALK,24,140,None,5842,None,None,7773.2988
643,-3420.0,WALK,9,140,None,5842,None,None,6623.7948
46,300.0,WALK,7,140,None,5842,None,None,5955.2568
720,-3240.0,WALK,28,140,None,5842,None,None,10313.770799999998
719,180.0,WALK,15,140,None,5842,None,None,10305.6312
751,-2760.0,WALK,27,140,None,5842,None,None,9959.911199999999
750,-420.0,WALK,18,140,None,5842,None,None,9946.7028
2554,8520.0,WALK,12,140,None,5842,None,None,11889.3288
2557,6420.0,WALK,20,140,None,5842,None,None,11929.507199999998
756,-2820.0,WALK,15,140,None,5842,None,None,9287.788799999998
755,-360.0,WALK,26,140,None,5842,None,None,9299.885999999999
2555,8640.0,WALK,18,140,None,5842,None,None,11052.823199999999
2556,6300.0,WALK,17,140,None,5842,None,None,11111.8728
748,13200.0,WALK,1,140,None,5842,None,None,11926.055999999999
749,13680.0,WALK,4,140,None,5842,None,None,11904.0036
754,-2700.0,WALK,18,140,None,5842,None,None,10554.0648
753,13800.0,WALK,3,140,None,5842,None,None,10546.8936
140,10140.0,WALK,0,140,None,5842,None,None,5842.695599999999
