destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
734,-2940.0,WALK,14,579,None,960,None,None,10014.249600000001
733,-2940.0,WALK,17,579,None,960,None,None,10018.131599999999
739,-3180.0,WALK,17,579,None,960,None,None,11689.174799999999
740,-3660.0,WALK,12,579,None,960,None,None,11645.678399999999
738,-3060.0,WALK,17,579,None,960,None,None,10799.488800000001
737,-2760.0,WALK,12,579,None,960,None,None,10803.1632
730,-3000.0,WALK,14,579,None,960,None,None,10103.244
731,-2820.0,WALK,16,579,None,960,None,None,10095.06
736,-3120.0,WALK,23,579,None,960,None,None,11138.7192
735,-3780.0,WALK,15,579,None,960,None,None,11105.887200000001
435,-3720.0,WALK,11,579,None,960,None,None,8095.279199999999
434,15840.0,WALK,19,579,None,960,None,None,8098.7292
436,-3780.0,WALK,24,579,None,960,None,None,6658.1436
437,19440.0,WALK,21,579,None,960,None,None,6653.614799999999
438,-2220.0,WALK,14,579,None,960,None,None,6338.1348
439,240.0,WALK,15,579,None,960,None,None,6324.6467999999995
440,15900.0,WALK,8,579,None,960,None,None,8104.9944
441,-3840.0,WALK,15,579,None,960,None,None,8102.7732
444,-240.0,WALK,15,579,None,960,None,None,6416.322
445,-660.0,WALK,18,579,None,960,None,None,6392.004
442,-1920.0,WALK,20,579,None,960,None,None,6960.6504
443,0.0,WALK,21,579,None,960,None,None,6912.581999999999
447,-2040.0,WALK,16,579,None,960,None,None,6576.353999999999
446,120.0,WALK,22,579,None,960,None,None,6586.1808
448,-1800.0,WALK,20,579,None,960,None,None,7403.5271999999995
22,16080.0,WALK,23,579,None,960,None,None,5382.3372
177,-3000.0,WALK,17,579,None,960,None,None,5375.436
172,15720.0,WALK,17,579,None,960,None,None,7577.1864
105,-3600.0,WALK,19,579,None,960,None,None,7571.655599999999
452,-4260.0,WALK,11,579,None,960,None,None,9009.33
454,-4080.0,WALK,16,579,None,960,None,None,8440.820399999999
455,-2400.0,WALK,15,579,None,960,None,None,8403.8544
456,-2520.0,WALK,12,579,None,960,None,None,8342.975999999999
