destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
399,-2820.0,WALK,20,607,None,927,None,None,10784.6172
400,16140.0,WALK,3,607,None,927,None,None,10797.0276
2637,15840.0,WALK,44,607,None,927,None,None,11642.6448
2638,-2580.0,WALK,35,607,None,927,None,None,11632.818
2643,15240.0,WALK,50,607,None,927,None,None,10386.99
2644,-1920.0,WALK,18,607,None,927,None,None,10379.759999999998
407,-4740.0,WALK,21,607,None,927,None,None,11151.639599999999
408,-2340.0,WALK,51,607,None,927,None,None,11138.844000000001
410,-2400.0,WALK,39,607,None,927,None,None,11139.924
409,15720.0,WALK,42,607,None,927,None,None,11144.942399999998
412,-2580.0,WALK,17,607,None,927,None,None,10556.2776
411,15180.0,WALK,2,607,None,927,None,None,10563.8856
413,-4080.0,WALK,29,607,None,927,None,None,11549.279999999999
414,-1980.0,WALK,20,607,None,927,None,None,11547.212399999999
415,15120.0,WALK,21,607,None,927,None,None,9340.888799999999
416,-1800.0,WALK,12,607,None,927,None,None,9342.4332
2608,-1860.0,WALK,8,607,None,927,None,None,9978.379200000001
2609,15180.0,WALK,42,607,None,927,None,None,9985.042800000001
155,-2640.0,WALK,38,607,None,927,None,None,10955.6196
17,15540.0,WALK,30,607,None,927,None,None,10966.4988
403,-1080.0,WALK,7,607,None,927,None,None,10140.083999999999
404,-2520.0,WALK,38,607,None,927,None,None,10106.727599999998
405,11340.0,WALK,2,607,None,927,None,None,10821.3348
406,-1200.0,WALK,24,607,None,927,None,None,10837.463999999998
1267,-960.0,WALK,9,607,None,927,None,None,11111.607600000001
1266,-1320.0,WALK,17,607,None,927,None,None,11094.1848
159,-4680.0,WALK,29,607,None,927,None,None,11295.6348
18,-2460.0,WALK,48,607,None,927,None,None,11302.210799999999
2635,-600.0,WALK,39,607,None,927,None,None,6148.633199999999
568,-1800.0,WALK,16,607,None,927,None,None,6981.1248
567,1320.0,WALK,8,607,None,927,None,None,7246.4508
566,-1740.0,WALK,18,607,None,927,None,None,7217.777999999999
560,-1560.0,WALK,16,607,None,927,None,None,7732.991999999999
559,-1740.0,WALK,39,607,None,927,None,None,7712.0484
565,-1560.0,WALK,17,607,None,927,None,None,7626.589199999999
564,-1680.0,WALK,8,607,None,927,None,None,7661.418
563,9600.0,WALK,0,607,None,927,None,None,9197.8992
562,-1140.0,WALK,17,607,None,927,None,None,9216.897599999998
2660,-2220.0,WALK,50,607,None,927,None,None,8890.9488
2661,19920.0,WALK,8,607,None,927,None,None,8893.0944
558,-1800.0,WALK,11,607,None,927,None,None,7509.612
157,300.0,WALK,20,607,None,927,None,None,8191.633199999999
139,5280.0,WALK,3,607,None,927,None,None,8303.5452
158,-1440.0,WALK,8,607,None,927,None,None,8354.7924
