destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
394,0.0,WALK,20,390,None,983,None,None,2707.0164
393,13620.0,WALK,15,390,None,983,None,None,2702.5368
15,120.0,WALK,8,390,None,983,None,None,2427.9719999999998
387,13560.0,WALK,12,390,None,983,None,None,2427.2052
418,-540.0,WALK,6,390,None,983,None,None,5766.926399999999
417,14160.0,WALK,21,390,None,983,None,None,5746.3464
420,-3300.0,WALK,14,390,None,983,None,None,6487.484399999999
419,-480.0,WALK,20,390,None,983,None,None,6494.822399999999
422,-120.0,WALK,32,390,None,983,None,None,4154.458799999999
421,13800.0,WALK,12,390,None,983,None,None,4148.7155999999995
424,-3180.0,WALK,7,390,None,983,None,None,5254.0788
423,-600.0,WALK,10,390,None,983,None,None,5264.075999999999
426,-420.0,WALK,21,390,None,983,None,None,6709.8816
425,14040.0,WALK,8,390,None,983,None,None,6704.1276
189,13980.0,WALK,12,390,None,983,None,None,5989.5288
20,-300.0,WALK,20,390,None,983,None,None,5984.1035999999995
466,13740.0,WALK,0,395,None,990,None,None,8508.6588
467,300.0,WALK,32,390,None,983,None,None,8511.372
468,14040.0,WALK,31,390,None,983,None,None,11365.507199999998
469,-60.0,WALK,17,390,None,983,None,None,11357.658
471,-120.0,WALK,33,390,None,983,None,None,11839.6632
470,14100.0,WALK,5,390,None,983,None,None,11841.916799999999
474,-540.0,WALK,21,390,None,983,None,None,10527.9612
473,14340.0,WALK,30,390,None,983,None,None,10519.812
476,-3360.0,WALK,16,390,None,983,None,None,7309.535999999999
475,19260.0,WALK,12,390,None,983,None,None,7310.140799999999
478,-480.0,WALK,20,390,None,983,None,None,10181.892
477,14280.0,WALK,9,390,None,983,None,None,10180.001999999999
481,13920.0,WALK,32,390,None,983,None,None,9769.3128
482,-3780.0,WALK,30,390,None,983,None,None,9730.4256
851,-3180.0,WALK,36,390,None,983,None,None,10578.181199999999
852,-4680.0,WALK,16,390,None,983,None,None,10545.962399999999
570,-3060.0,WALK,30,390,None,983,None,None,9808.1232
2245,-4560.0,WALK,19,390,None,983,None,None,9854.4528
2494,-1980.0,WALK,19,390,None,983,None,None,9863.2332
1243,13860.0,WALK,0,395,None,990,None,None,5712.928800000001
1244,-300.0,WALK,20,390,None,983,None,None,5707.122
2249,-300.0,WALK,12,390,None,983,None,None,10984.0584
2501,14100.0,WALK,0,395,None,990,None,None,10993.176
2248,-4140.0,WALK,13,390,None,983,None,None,10118.766
2503,-3960.0,WALK,9,390,None,983,None,None,10129.4268
2250,13620.0,WALK,0,390,None,983,None,None,8139.8592
2505,-3660.0,WALK,33,390,None,983,None,None,8150.725199999999
2252,-4200.0,WALK,30,390,None,983,None,None,8770.4244
2509,14100.0,WALK,5,390,None,983,None,None,8767.398
489,600.0,WALK,32,390,None,983,None,None,6550.679999999999
488,13260.0,WALK,8,390,None,983,None,None,6545.1107999999995
490,11100.0,WALK,4,390,None,983,None,None,4745.1215999999995
491,180.0,WALK,30,390,None,983,None,None,4779.846
492,-3840.0,WALK,30,390,None,983,None,None,2515.5108
493,600.0,WALK,20,390,None,983,None,None,2516.4071999999996
495,-4020.0,WALK,33,390,None,983,None,None,3851.0796
494,19740.0,WALK,30,390,None,983,None,None,3847.0212
499,13200.0,WALK,0,390,None,983,None,None,7105.781999999999
500,660.0,WALK,11,390,None,983,None,None,7124.466
502,660.0,WALK,7,390,None,983,None,None,6177.651599999999
503,13260.0,WALK,0,390,None,983,None,None,6239.772
504,20400.0,WALK,30,390,None,983,None,None,7097.0628
505,-4380.0,WALK,16,390,None,983,None,None,7118.1708
1272,13320.0,WALK,8,390,None,983,None,None,5658.7992
1270,660.0,WALK,8,390,None,983,None,None,5658.7476
2560,0.0,WALK,33,390,None,983,None,None,3932.7396
2561,12420.0,WALK,5,390,None,983,None,None,3942.4236
29,12900.0,WALK,4,390,None,983,None,None,3896.0879999999997
7,-720.0,WALK,29,390,None,983,None,None,5074.6356000000005
506,900.0,WALK,11,390,None,983,None,None,4948.4196
497,20580.0,WALK,32,390,None,983,None,None,6029.802
496,37440.0,WALK,10,390,None,983,None,None,6013.518
501,13140.0,WALK,0,390,None,983,None,None,4685.0916
111,840.0,WALK,5,390,None,983,None,None,4716.8135999999995
190,19860.0,WALK,32,390,None,983,None,None,4450.8972
28,-4140.0,WALK,19,390,None,983,None,None,4464.8124
498,13080.0,WALK,4,390,None,983,None,None,5074.308
508,180.0,WALK,17,390,None,983,None,None,9270.5052
509,13680.0,WALK,0,395,None,990,None,None,9318.679199999999
1264,480.0,WALK,20,390,None,983,None,None,6515.1972
1265,13440.0,WALK,35,390,None,983,None,None,6515.7864
512,13800.0,WALK,31,390,None,983,None,None,9804.223199999999
513,0.0,WALK,8,390,None,983,None,None,9811.562399999999
514,-4140.0,WALK,33,390,None,983,None,None,7964.4324
515,20100.0,WALK,18,390,None,983,None,None,7973.7708
520,13740.0,WALK,32,390,None,983,None,None,9908.9052
521,60.0,WALK,5,390,None,983,None,None,9916.135199999999
522,-4020.0,WALK,30,390,None,983,None,None,8350.2936
523,-360.0,WALK,32,390,None,983,None,None,8359.902
524,-4260.0,WALK,19,390,None,983,None,None,7958.1816
525,13500.0,WALK,35,390,None,983,None,None,7966.2804
191,-240.0,WALK,20,390,None,983,None,None,8008.6536
93,14040.0,WALK,5,390,None,983,None,None,8003.6795999999995
549,60.0,WALK,7,390,None,983,None,None,8098.049999999999
550,13800.0,WALK,0,395,None,990,None,None,8106.4619999999995
829,-60.0,WALK,44,390,None,983,None,None,8908.008
830,13980.0,WALK,32,390,None,983,None,None,8912.0676
551,240.0,WALK,11,390,None,983,None,None,8341.8156
552,13620.0,WALK,35,390,None,983,None,None,8347.8768
554,13500.0,WALK,8,390,None,983,None,None,8279.1048
553,360.0,WALK,7,390,None,983,None,None,8277.4152
539,20460.0,WALK,4,390,None,983,None,None,6809.0436
37,180.0,WALK,20,390,None,983,None,None,6912.919199999999
538,13380.0,WALK,16,390,None,983,None,None,6826.7748
546,-420.0,WALK,20,390,None,983,None,None,6013.2972
545,-4440.0,WALK,16,390,None,983,None,None,6020.1768
2282,-4320.0,WALK,19,390,None,983,None,None,10220.7564
609,-2400.0,WALK,28,390,None,983,None,None,11046.873599999999
610,18060.0,WALK,7,390,None,983,None,None,11039.4384
617,-2640.0,WALK,31,390,None,983,None,None,8969.6484
616,14280.0,WALK,5,390,None,983,None,None,8967.0828
619,-2520.0,WALK,28,390,None,983,None,None,10501.098
618,14100.0,WALK,32,390,None,983,None,None,10502.6976
849,14040.0,WALK,0,395,None,990,None,None,11036.358
45,-2460.0,WALK,11,390,None,983,None,None,11039.2752
622,-2700.0,WALK,9,390,None,983,None,None,7490.1312
623,15300.0,WALK,6,390,None,983,None,None,7502.093999999999
650,-3120.0,WALK,43,390,None,983,None,None,8389.2588
649,-120.0,WALK,7,390,None,983,None,None,8402.106
624,18360.0,WALK,2,390,None,983,None,None,7572.2555999999995
625,-2280.0,WALK,24,390,None,983,None,None,7565.274
640,-3000.0,WALK,28,390,None,983,None,None,9134.060399999998
639,-240.0,WALK,30,390,None,983,None,None,9137.9604
627,-2760.0,WALK,4,390,None,983,None,None,6298.2516
626,15420.0,WALK,6,390,None,983,None,None,6297.768
638,-2220.0,WALK,6,390,None,983,None,None,7611.213599999999
637,18300.0,WALK,12,390,None,983,None,None,7620.9947999999995
628,60.0,WALK,29,390,None,983,None,None,7373.5092
629,-3240.0,WALK,36,390,None,983,None,None,7361.652
647,12840.0,WALK,6,390,None,983,None,None,9785.1876
648,-300.0,WALK,33,390,None,983,None,None,9755.8884
631,-2940.0,WALK,15,390,None,983,None,None,5254.133999999999
641,12420.0,WALK,5,390,None,983,None,None,6883.583999999999
642,9420.0,WALK,2,390,None,983,None,None,6873.7464
633,-2520.0,WALK,29,390,None,983,None,None,6537.0815999999995
634,18600.0,WALK,12,390,None,983,None,None,6465.8928
644,-3180.0,WALK,30,390,None,983,None,None,7719.8916
645,0.0,WALK,8,390,None,983,None,None,7679.162399999999
635,-2880.0,WALK,32,390,None,983,None,None,5550.1668
636,18720.0,WALK,2,390,None,983,None,None,5536.1939999999995
2633,14400.0,WALK,7,390,None,983,None,None,7248.6528
621,-3060.0,WALK,31,390,None,983,None,None,8666.7204
620,14100.0,WALK,5,390,None,983,None,None,8646.336
643,11160.0,WALK,4,390,None,983,None,None,6296.799599999999
46,-3480.0,WALK,31,390,None,983,None,None,6751.157999999999
666,-660.0,WALK,20,390,None,983,None,None,11497.987200000001
665,14460.0,WALK,32,390,None,983,None,None,11503.4364
724,-120.0,WALK,16,390,None,983,None,None,4701.4151999999995
725,13980.0,WALK,0,395,None,990,None,None,4700.578799999999
726,-840.0,WALK,10,390,None,983,None,None,7284.051599999999
727,14400.0,WALK,31,390,None,983,None,None,7251.958799999999
64,-2880.0,WALK,31,390,None,983,None,None,5332.128
2558,-3000.0,WALK,43,390,None,983,None,None,7933.4784
65,13860.0,WALK,4,390,None,983,None,None,7928.987999999999
186,-720.0,WALK,6,390,None,983,None,None,6918.940799999999
92,-3000.0,WALK,38,390,None,983,None,None,6918.4439999999995
187,-3180.0,WALK,30,390,None,983,None,None,5661.0408
136,-420.0,WALK,12,390,None,983,None,None,5662.8372
751,-2760.0,WALK,33,390,None,983,None,None,10139.943599999999
750,-420.0,WALK,14,390,None,983,None,None,10150.323599999998
746,-2820.0,WALK,31,390,None,983,None,None,9922.282799999999
747,13740.0,WALK,1,390,None,983,None,None,9909.5916
286,-2700.0,WALK,28,390,None,983,None,None,11212.055999999999
344,-780.0,WALK,10,390,None,983,None,None,11189.510400000001
290,-2580.0,WALK,11,390,None,983,None,None,11939.051999999998
340,-3840.0,WALK,16,390,None,983,None,None,11895.2964
2554,14820.0,WALK,7,390,None,983,None,None,11367.532799999999
2557,6420.0,WALK,15,390,None,983,None,None,11381.3148
287,11820.0,WALK,6,390,None,983,None,None,11554.2792
343,-3660.0,WALK,33,390,None,983,None,None,11554.297199999999
756,12960.0,WALK,7,390,None,983,None,None,10046.343599999998
755,-360.0,WALK,32,390,None,983,None,None,10060.420799999998
2555,14940.0,WALK,7,390,None,983,None,None,10859.0076
2556,6300.0,WALK,6,390,None,983,None,None,10871.874
748,-2580.0,WALK,9,390,None,983,None,None,10666.895999999999
749,13680.0,WALK,1,390,None,983,None,None,10647.927599999999
758,-2040.0,WALK,38,390,None,983,None,None,11222.9232
757,17820.0,WALK,12,390,None,983,None,None,11222.835599999999
754,-2700.0,WALK,13,390,None,983,None,None,10400.9676
753,13800.0,WALK,4,390,None,983,None,None,10412.116799999998
764,12600.0,WALK,5,390,None,983,None,None,11873.019600000001
765,13500.0,WALK,1,395,None,990,None,None,11862.616799999998
288,14760.0,WALK,1,390,None,983,None,None,11616.12
342,-3720.0,WALK,7,390,None,983,None,None,11608.771200000001
762,-2220.0,WALK,13,390,None,983,None,None,10391.826
763,17880.0,WALK,12,390,None,983,None,None,10385.570399999999
285,12960.0,WALK,5,390,None,983,None,None,11249.4108
345,-3540.0,WALK,32,390,None,983,None,None,11257.431599999998
184,16200.0,WALK,7,390,None,983,None,None,10816.0296
113,-2340.0,WALK,42,390,None,983,None,None,10753.749600000001
742,-660.0,WALK,10,390,None,983,None,None,11071.2012
743,-2460.0,WALK,8,390,None,983,None,None,11075.2596
289,-2580.0,WALK,29,390,None,983,None,None,11563.332
341,-3780.0,WALK,13,390,None,983,None,None,11540.688
140,-900.0,WALK,6,390,None,983,None,None,4833.0336
827,-180.0,WALK,33,390,None,983,None,None,10554.816
828,14100.0,WALK,31,390,None,983,None,None,10557.812399999999
826,14220.0,WALK,5,390,None,983,None,None,11293.021200000001
79,-300.0,WALK,12,390,None,983,None,None,11300.8932
