destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
734,-2940.0,WALK,5,331,None,2425,None,None,9234.684
733,-2940.0,WALK,19,331,None,2425,None,None,9282.040799999999
739,-3180.0,WALK,19,331,None,2425,None,None,11909.997599999999
740,-3660.0,WALK,13,331,None,2425,None,None,11833.849199999999
738,-3060.0,WALK,21,331,None,2425,None,None,10490.9772
737,-2760.0,WALK,13,331,None,2425,None,None,10508.236799999999
730,-3000.0,WALK,8,331,None,2425,None,None,9724.612799999999
731,-2820.0,WALK,5,331,None,2425,None,None,9753.096
736,-3120.0,WALK,27,331,None,2425,None,None,10922.822400000001
735,-3780.0,WALK,6,331,None,2425,None,None,10858.6332
435,-3720.0,WALK,12,331,None,2425,None,None,11888.9484
434,15840.0,WALK,21,331,None,2425,None,None,11901.2316
440,15900.0,WALK,2,331,None,2425,None,None,11380.3284
441,-3840.0,WALK,4,331,None,2425,None,None,11382.8856
442,-1920.0,WALK,6,331,None,2425,None,None,11218.0296
443,0.0,WALK,10,331,None,2425,None,None,11294.3172
447,-2040.0,WALK,7,331,None,2425,None,None,11654.696399999999
446,120.0,WALK,1,331,None,2425,None,None,11628.258
448,-1800.0,WALK,9,331,None,2425,None,None,9416.6724
22,16080.0,WALK,2,331,None,2425,None,None,10453.259999999998
177,-3000.0,WALK,19,331,None,2425,None,None,10460.2416
2282,-4320.0,WALK,10,331,None,2425,None,None,10065.1188
609,-2400.0,WALK,15,331,None,2425,None,None,8232.0276
610,18060.0,WALK,5,331,None,2425,None,None,8238.6756
612,-2460.0,WALK,8,331,None,2425,None,None,9392.8332
611,-2760.0,WALK,30,331,None,2425,None,None,9388.1652
613,-2700.0,WALK,15,331,None,2425,None,None,9276.0744
614,18000.0,WALK,15,331,None,2425,None,None,9276.3648
617,-4440.0,WALK,4,331,None,2425,None,None,10722.5484
616,14280.0,WALK,9,331,None,2425,None,None,10718.878799999999
619,-2520.0,WALK,7,331,None,2425,None,None,10017.778799999998
618,14100.0,WALK,22,331,None,2425,None,None,10006.955999999998
2284,-3480.0,WALK,9,331,None,2425,None,None,9633.7248
2640,-420.0,WALK,10,331,None,2425,None,None,7799.3748
2459,-3720.0,WALK,9,331,None,2425,None,None,8805.066
849,-4200.0,WALK,18,331,None,2425,None,None,9618.4788
45,-2460.0,WALK,8,331,None,2425,None,None,9625.1376
622,-2700.0,WALK,12,331,None,2425,None,None,8965.5132
623,15300.0,WALK,10,331,None,2425,None,None,8952.547199999999
650,-3120.0,WALK,27,331,None,2425,None,None,9026.5128
649,-120.0,WALK,10,331,None,2425,None,None,9022.1148
624,18360.0,WALK,10,331,None,2425,None,None,9301.068
625,-2280.0,WALK,5,331,None,2425,None,None,9302.4036
640,-3000.0,WALK,7,331,None,2425,None,None,7695.549599999999
639,-240.0,WALK,17,331,None,2425,None,None,7696.9092
627,-2760.0,WALK,10,331,None,2425,None,None,10185.2856
626,15420.0,WALK,8,331,None,2425,None,None,10185.1092
638,-2220.0,WALK,8,331,None,2425,None,None,9051.6804
637,18300.0,WALK,9,331,None,2425,None,None,9042.2148
628,60.0,WALK,16,331,None,2425,None,None,10150.4376
629,-3240.0,WALK,30,331,None,2425,None,None,10158.487200000001
647,-2940.0,WALK,5,331,None,2425,None,None,7009.5264
648,-300.0,WALK,23,331,None,2425,None,None,7038.656399999999
631,-2940.0,WALK,8,331,None,2425,None,None,11314.4304
641,-3360.0,WALK,11,331,None,2425,None,None,10350.066
642,180.0,WALK,9,331,None,2425,None,None,10362.5052
633,-2520.0,WALK,7,331,None,2425,None,None,10394.4228
634,18600.0,WALK,9,331,None,2425,None,None,10452.3456
644,-3180.0,WALK,19,331,None,2425,None,None,9531.0336
645,0.0,WALK,1,331,None,2425,None,None,9577.542
635,-2880.0,WALK,20,331,None,2425,None,None,10950.920399999999
636,18720.0,WALK,10,331,None,2425,None,None,10963.207199999999
2633,120.0,WALK,9,331,None,2425,None,None,10467.9696
621,-3060.0,WALK,21,331,None,2425,None,None,8364.366
620,-180.0,WALK,20,331,None,2425,None,None,8412.363599999999
643,-3420.0,WALK,5,331,None,2425,None,None,11025.6096
46,-3480.0,WALK,19,331,None,2425,None,None,11066.232
787,-2940.0,WALK,12,331,None,2425,None,None,5483.253599999999
786,-3600.0,WALK,19,331,None,2425,None,None,5497.512
788,-2580.0,WALK,15,331,None,2425,None,None,6001.5108
227,6300.0,WALK,1,331,None,2425,None,None,4553.6856
194,-900.0,WALK,17,331,None,2425,None,None,4506.6456
235,240.0,WALK,17,331,None,2425,None,None,3202.8779999999997
278,-2340.0,WALK,9,331,None,2425,None,None,6989.6316
261,-3000.0,WALK,5,331,None,2425,None,None,6914.002799999999
352,-900.0,WALK,9,331,None,2425,None,None,3472.7652
294,-2220.0,WALK,11,331,None,2425,None,None,3671.286
336,-1020.0,WALK,20,331,None,2425,None,None,3650.7012
379,-2040.0,WALK,6,331,None,2425,None,None,3842.4539999999997
350,-1020.0,WALK,7,331,None,2425,None,None,3853.2828
221,-1920.0,WALK,7,331,None,2425,None,None,4651.882799999999
202,-900.0,WALK,17,331,None,2425,None,None,4669.0164
228,-900.0,WALK,6,331,None,2425,None,None,4817.8092
193,-540.0,WALK,3,331,None,2425,None,None,4773.7764
303,-540.0,WALK,8,331,None,2425,None,None,2787.2459999999996
328,-2580.0,WALK,7,331,None,2425,None,None,2780.2835999999998
204,660.0,WALK,1,331,None,2425,None,None,4789.6236
219,-2040.0,WALK,5,331,None,2425,None,None,4846.683599999999
270,-2280.0,WALK,5,331,None,2425,None,None,5990.064
333,-840.0,WALK,13,331,None,2425,None,None,2778.5831999999996
298,-2280.0,WALK,13,331,None,2425,None,None,2784.3804
377,-2160.0,WALK,8,331,None,2425,None,None,3350.8668
249,240.0,WALK,20,331,None,2425,None,None,2999.256
236,-2160.0,WALK,6,331,None,2425,None,None,2982.9120000000003
304,-360.0,WALK,20,331,None,2425,None,None,3161.0411999999997
327,-2100.0,WALK,8,331,None,2425,None,None,3105.2783999999997
688,-2160.0,WALK,14,331,None,2425,None,None,4318.6344
687,-960.0,WALK,11,331,None,2425,None,None,4299.2388
2611,-1440.0,WALK,9,331,None,2425,None,None,4753.4436
2612,-1080.0,WALK,14,331,None,2425,None,None,4770.2076
205,840.0,WALK,8,331,None,2425,None,None,4288.6176
218,-2160.0,WALK,8,331,None,2425,None,None,4312.7184
222,-1920.0,WALK,2,331,None,2425,None,None,4395.6468
201,-3540.0,WALK,11,331,None,2425,None,None,4417.6512
276,-2160.0,WALK,6,331,None,2425,None,None,5422.5696
263,6420.0,WALK,1,331,None,2425,None,None,5442.3444
247,-2220.0,WALK,6,331,None,2425,None,None,2780.7744
238,360.0,WALK,9,331,None,2425,None,None,2766.816
198,-180.0,WALK,8,331,None,2425,None,None,3817.3199999999997
224,-1140.0,WALK,3,331,None,2425,None,None,3807.9875999999995
299,-4440.0,WALK,18,331,None,2425,None,None,2533.8048
332,-2280.0,WALK,6,331,None,2425,None,None,2526.954
380,-1980.0,WALK,13,331,None,2425,None,None,3966.9323999999997
349,-1080.0,WALK,5,331,None,2425,None,None,3987.2807999999995
1258,-3420.0,WALK,19,331,None,2425,None,None,4662.7944
1259,-1980.0,WALK,5,331,None,2425,None,None,4648.2792
242,-2520.0,WALK,5,331,None,2425,None,None,3559.5816
243,600.0,WALK,7,331,None,2425,None,None,3510.4404
359,-420.0,WALK,9,331,None,2425,None,None,6013.7856
370,-2640.0,WALK,8,331,None,2425,None,None,5991.314399999999
216,900.0,WALK,14,331,None,2425,None,None,4455.0072
207,-2220.0,WALK,6,331,None,2425,None,None,4448.346
215,-900.0,WALK,8,331,None,2425,None,None,4662.4296
208,-2340.0,WALK,9,331,None,2425,None,None,4647.079199999999
355,-540.0,WALK,23,331,None,2425,None,None,5287.4316
374,-2520.0,WALK,7,331,None,2425,None,None,5301.993600000001
226,-900.0,WALK,14,331,None,2425,None,None,4272.822
195,-360.0,WALK,11,331,None,2425,None,None,4274.034
251,6120.0,WALK,1,331,None,2425,None,None,3487.5683999999997
234,-1920.0,WALK,5,331,None,2425,None,None,3459.99
690,-2280.0,WALK,6,331,None,2425,None,None,4890.6636
691,-600.0,WALK,13,331,None,2425,None,None,4967.9220000000005
1260,4740.0,WALK,0,331,None,2425,None,None,4628.7708
1261,-2520.0,WALK,5,331,None,2425,None,None,4609.7352
241,-2400.0,WALK,8,331,None,2425,None,None,3206.0051999999996
244,540.0,WALK,9,331,None,2425,None,None,3206.6939999999995
277,-2280.0,WALK,6,331,None,2425,None,None,6291.5472
262,540.0,WALK,1,331,None,2425,None,None,6317.6544
675,-300.0,WALK,4,331,None,2425,None,None,3960.3732
676,-1020.0,WALK,7,331,None,2425,None,None,3961.7796
256,-420.0,WALK,3,331,None,2425,None,None,4915.0116
229,-900.0,WALK,6,331,None,2425,None,None,4932.0743999999995
245,-660.0,WALK,7,331,None,2425,None,None,2577.6816000000003
240,-2460.0,WALK,6,331,None,2425,None,None,2541.0719999999997
356,-540.0,WALK,17,331,None,2425,None,None,5491.053599999999
373,-2520.0,WALK,7,331,None,2425,None,None,5511.187199999999
684,-2160.0,WALK,9,331,None,2425,None,None,4270.458
685,-660.0,WALK,12,331,None,2425,None,None,4286.6472
354,-780.0,WALK,8,331,None,2425,None,None,3842.784
375,-2280.0,WALK,6,331,None,2425,None,None,3881.8716
2566,-1620.0,WALK,4,331,None,2425,None,None,4977.9792
2565,-960.0,WALK,15,331,None,2425,None,None,4975.854
214,-2460.0,WALK,11,331,None,2425,None,None,4638.8436
209,-2340.0,WALK,8,331,None,2425,None,None,4643.9832
250,-4620.0,WALK,10,331,None,2425,None,None,3234.7007999999996
297,-2040.0,WALK,8,331,None,2425,None,None,3223.2131999999997
252,0.0,WALK,9,331,None,2425,None,None,3667.4879999999994
233,-1860.0,WALK,7,331,None,2425,None,None,3662.0424000000003
271,-2220.0,WALK,8,331,None,2425,None,None,5709.785999999999
353,-840.0,WALK,9,331,None,2425,None,None,3592.2875999999997
376,-2220.0,WALK,6,331,None,2425,None,None,3598.98
351,-960.0,WALK,21,331,None,2425,None,None,3523.1328
378,-2100.0,WALK,15,331,None,2425,None,None,3510.6719999999996
275,-1980.0,WALK,8,331,None,2425,None,None,4615.8924
264,-960.0,WALK,13,331,None,2425,None,None,4632.2244
371,-2580.0,WALK,5,331,None,2425,None,None,5977.9392
254,6180.0,WALK,1,331,None,2425,None,None,4779.282
357,-2400.0,WALK,27,331,None,2425,None,None,6415.3572
372,15120.0,WALK,10,331,None,2425,None,None,6417.0815999999995
272,-1020.0,WALK,17,331,None,2425,None,None,4843.9716
267,-2100.0,WALK,5,331,None,2425,None,None,4824.8976
686,-2220.0,WALK,6,331,None,2425,None,None,6375.524399999999
225,-1080.0,WALK,10,331,None,2425,None,None,3803.622
197,-240.0,WALK,19,331,None,2425,None,None,3820.7508
302,-540.0,WALK,8,331,None,2425,None,None,2685.7884
329,-2520.0,WALK,6,331,None,2425,None,None,2694.774
213,-840.0,WALK,3,331,None,2425,None,None,4566.8148
210,15060.0,WALK,8,331,None,2425,None,None,4581.8387999999995
200,-3600.0,WALK,5,331,None,2425,None,None,4171.3956
2564,-840.0,WALK,13,331,None,2425,None,None,6092.916
206,840.0,WALK,9,331,None,2425,None,None,4205.4192
217,-2220.0,WALK,6,331,None,2425,None,None,4215.5064
212,-780.0,WALK,15,331,None,2425,None,None,4078.0368
211,-2400.0,WALK,7,331,None,2425,None,None,4063.0116
295,-2100.0,WALK,7,331,None,2425,None,None,3564.1644
335,-4200.0,WALK,10,331,None,2425,None,None,3542.4408
