destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
622,-2700.0,WALK,11,647,None,6892,None,None,9521.103599999999
623,15300.0,WALK,4,647,None,6892,None,None,9479.735999999999
650,-3120.0,WALK,48,647,None,6892,None,None,6953.01
649,-120.0,WALK,9,647,None,6892,None,None,6937.4808
624,18360.0,WALK,4,647,None,6892,None,None,8051.1035999999995
625,-2280.0,WALK,30,647,None,6892,None,None,8063.236799999999
640,-3000.0,WALK,34,647,None,6892,None,None,7140.8351999999995
639,-240.0,WALK,36,647,None,6892,None,None,7129.5348
627,-2760.0,WALK,6,647,None,6892,None,None,10523.0772
626,15420.0,WALK,3,647,None,6892,None,None,10518.8892
638,-2220.0,WALK,8,647,None,6892,None,None,8364.0612
637,18300.0,WALK,16,647,None,6892,None,None,8357.049599999998
628,60.0,WALK,34,647,None,6892,None,None,7721.917199999999
629,-3240.0,WALK,41,647,None,6892,None,None,7733.741999999999
647,11640.0,WALK,0,647,None,6892,None,None,6892.765199999999
648,-300.0,WALK,38,647,None,6892,None,None,6905.839199999999
631,-2940.0,WALK,20,647,None,6892,None,None,10260.898799999999
641,12420.0,WALK,3,647,None,6892,None,None,8277.7428
642,9420.0,WALK,4,647,None,6892,None,None,8284.6764
633,-2520.0,WALK,35,647,None,6892,None,None,8774.7408
634,18600.0,WALK,16,647,None,6892,None,None,8843.928
644,-3180.0,WALK,36,647,None,6892,None,None,7583.3544
645,0.0,WALK,10,647,None,6892,None,None,7611.3444
635,-2880.0,WALK,37,647,None,6892,None,None,10229.355599999999
636,18720.0,WALK,4,647,None,6892,None,None,10246.2336
2633,14400.0,WALK,2,647,None,6892,None,None,7772.7011999999995
621,-3060.0,WALK,37,647,None,6892,None,None,7117.8132000000005
620,14100.0,WALK,3,647,None,6892,None,None,7098.0455999999995
643,11160.0,WALK,2,647,None,6892,None,None,8753.208
46,-3480.0,WALK,36,647,None,6892,None,None,8225.1084
227,13320.0,WALK,1,647,None,6892,None,None,10555.4388
194,14040.0,WALK,3,647,None,6892,None,None,10603.3728
235,14640.0,WALK,4,647,None,6892,None,None,11251.6932
352,-900.0,WALK,16,647,None,6892,None,None,11592.6528
294,-2220.0,WALK,17,647,None,6892,None,None,10111.8336
336,-1020.0,WALK,37,647,None,6892,None,None,10138.777199999999
228,13500.0,WALK,4,647,None,6892,None,None,10980.4908
193,13860.0,WALK,1,647,None,6892,None,None,10935.800399999998
303,-540.0,WALK,8,647,None,6892,None,None,11395.357199999999
328,10560.0,WALK,4,647,None,6892,None,None,11389.05
333,11820.0,WALK,3,647,None,6892,None,None,10832.826
298,-2280.0,WALK,12,647,None,6892,None,None,10830.2352
377,13620.0,WALK,5,647,None,6892,None,None,11526.1656
249,240.0,WALK,39,647,None,6892,None,None,11144.076
236,-2160.0,WALK,7,647,None,6892,None,None,11127.054
304,12360.0,WALK,1,647,None,6892,None,None,11784.7284
327,-2580.0,WALK,17,647,None,6892,None,None,11728.857600000001
688,13620.0,WALK,2,647,None,6892,None,None,10999.224
687,14460.0,WALK,3,647,None,6892,None,None,11023.217999999999
2611,14040.0,WALK,3,647,None,6892,None,None,11980.338
2612,7680.0,WALK,3,647,None,6892,None,None,11991.5496
222,14940.0,WALK,3,647,None,6892,None,None,11929.5132
201,14820.0,WALK,3,647,None,6892,None,None,11941.3524
247,-2220.0,WALK,14,647,None,6892,None,None,11137.1172
238,360.0,WALK,17,647,None,6892,None,None,11128.6572
198,14220.0,WALK,3,647,None,6892,None,None,11169.024
224,-1140.0,WALK,18,647,None,6892,None,None,11164.601999999999
299,14940.0,WALK,4,647,None,6892,None,None,10577.784
332,12900.0,WALK,4,647,None,6892,None,None,10552.992
380,13800.0,WALK,4,647,None,6892,None,None,11999.963999999998
242,12060.0,WALK,2,647,None,6892,None,None,11983.2876
243,600.0,WALK,27,647,None,6892,None,None,11939.812799999998
226,13500.0,WALK,4,647,None,6892,None,None,10465.946399999999
195,-360.0,WALK,39,647,None,6892,None,None,10489.5228
251,13320.0,WALK,2,647,None,6892,None,None,11313.6912
234,12660.0,WALK,0,647,None,6892,None,None,11297.813999999998
241,12180.0,WALK,3,647,None,6892,None,None,11715.314400000001
244,14940.0,WALK,2,647,None,6892,None,None,11712.2964
675,14100.0,WALK,6,647,None,6892,None,None,10483.7004
676,-1020.0,WALK,15,647,None,6892,None,None,10472.8008
256,12420.0,WALK,2,647,None,6892,None,None,11477.014799999999
229,8340.0,WALK,4,647,None,6892,None,None,11503.4628
245,-660.0,WALK,18,647,None,6892,None,None,11100.417599999999
240,-2460.0,WALK,10,647,None,6892,None,None,11046.8604
