centroid_id,distance,stop_id
0,1996.069,2009
0,1941.84,2008
0,1936.229,2007
0,1980.843,2006
0,2147.716,2005
0,3733.461,2004
0,3382.983,2003
0,2958.795,2002
0,2676.355,2001
0,2436.269,2000
0,1581.845,1009
0,1427.609,1008
0,1532.632,1007
0,1907.844,1006
0,2171.476,1005
0,2609.996,1004
0,3068.632,1003
0,3606.152,1002
0,4652.793,1000
0,4157.304,1001
1,2575.158,2009
1,2373.062,2008
1,2178.724,2007
1,1994.96,2006
1,2013.177,2005
1,2940.224,2004
1,2663.169,2003
1,2362.368,2002
1,2205.613,2001
1,2058.619,2000
1,614.001,1009
1,309.96,1008
1,707.925,1007
1,1339.648,1006
1,1731.301,1005
1,2278.371,1004
1,2816.547,1003
1,3416.668,1002
1,4553.348,1000
1,4022.016,1001
2,3453.346,2009
2,3184.198,2008
2,2896.845,2007
2,2585.151,2006
2,2477.921,2005
2,2449.105,2004
2,2321.074,2003
2,2248.134,2002
2,2283.329,2001
2,2277.592,2000
2,948.036,1009
2,895.04,1008
2,1140.337,1007
2,1611.354,1006
2,1981.543,1005
2,2493.367,1004
2,3016.022,1003
2,3604.153,1002
2,4739.671,1000
2,4209.163,1001
3,1068.408,2009
3,945.957,2008
3,930.819,2007
3,1048.086,2006
3,1272.708,2005
3,3185.464,2004
3,2790.235,2003
3,2298.924,2002
3,1951.458,2001
3,1675.686,2000
3,2132.323,1009
3,1657.787,1008
3,1419.831,1007
3,1411.492,1006
3,1501.3,1005
3,1798.517,1004
3,2178.334,1003
3,2667.906,1002
3,3670.199,1000
3,3189.783,1001
4,1946.417,2009
4,1659.943,2008
4,1365.348,2007
4,1074.48,2006
4,1029.502,2005
4,2203.004,2004
4,1852.883,2003
4,1453.009,2002
4,1228.788,2001
4,1053.713,2000
4,1556.162,1009
4,897.939,1008
4,410.007,1007
4,383.459,1006
4,732.056,1005
4,1270.207,1004
4,1805.936,1003
4,2405.575,1002
4,3543.239,1000
4,3011.293,1001
5,3013.734,2009
5,2694.995,2008
5,2347.113,2007
5,1964.063,2006
5,1773.972,2005
5,1485.357,2004
5,1314.516,2003
5,1258.742,2002
5,1363.327,2001
5,1435.17,2000
5,1715.66,1009
5,1229.367,1008
5,983.516,1007
5,974.055,1006
5,1210.34,1005
5,1624.562,1004
5,2103.493,1003
5,2665.122,1002
5,3779.649,1000
5,3257.003,1001
6,585.775,2009
6,251.752,2008
6,168.352,2007
6,563.68,2006
6,819.396,2005
6,2898.325,2004
6,2484.126,2003
6,1964.747,2002
6,1580.53,2001
6,1313.39,2000
6,2938.696,1009
