centroid_id,longitude,latitude
0,104.88683499999999,11.582120000000002
1,104.88683499999999,11.571720000000001
2,104.88683499999999,11.561319999999998
3,104.89610499999999,11.582120000000002
4,104.89610499999999,11.571720000000001
5,104.89610499999999,11.561319999999998
6,104.90537499999999,11.582120000000002
7,104.90537499999999,11.571720000000001
8,104.90537499999999,11.561319999999998
9,104.91464500000001,11.582120000000002
10,104.91464500000001,11.571720000000001
11,104.91464500000001,11.561319999999998
12,104.92391500000001,11.582120000000002
13,104.92391500000001,11.571720000000001
14,104.92391500000001,11.561319999999998
