centroid_id,distance,stop_id
0,4980.857,19217
0,5019.361,15944
0,5019.361,15881
0,5288.685,15945
0,5133.321,15946
0,5133.321,18617
0,5288.685,15882
0,5027.024,15947
0,5027.024,15883
0,5656.423,16150
0,5658.502,16151
0,5657.46,16149
0,5423.871,15948
0,5423.871,15884
0,4851.602,15949
0,4851.602,15885
0,4907.717,15950
0,4907.717,15886
0,5418.146,15951
0,5418.146,15887
0,5215.477,15952
0,5300.541,15954
0,5300.541,19192
0,5215.477,15888
0,5676.389,15955
0,5676.389,15889
0,5212.728,18129
0,5212.728,15890
0,4587.972,15958
0,4587.972,15891
0,5139.2,19256
0,5139.2,19255
0,5401.521,18145
0,5236.425,15959
0,5236.425,15892
0,5516.616,15960
0,5516.616,15893
0,5401.521,18128
0,4792.604,15962
0,4838.061,15964
0,4811.657,15895
0,4980.053,15965
0,4980.053,15896
0,4986.009,16100
0,4986.009,16099
0,5890.869,15968
0,5890.869,15898
0,5308.758,15969
0,5276.346,15970
0,5292.305,15899
0,4504.076,19384
0,4504.076,19383
0,5245.295,15971
0,5245.295,15900
0,5273.75,15972
0,5273.75,15901
0,5444.329,16147
0,5450.336,16148
0,5447.331,16146
0,5407.116,15973
0,5407.116,15902
0,4040.48,19284
0,4040.48,19282
0,5626.501,19267
0,4406.145,19280
0,4382.738,19281
0,4393.737,19279
0,4502.866,15975
0,4502.866,15903
0,5626.501,15976
0,5633.629,15977
0,5633.629,15904
0,4474.345,15978
0,4477.787,15979
0,4476.013,15905
0,4989.581,15981
0,4972.306,15982
0,5786.796,15983
0,5789.95,15984
0,5788.318,15907
0,4178.412,16933
0,4170.868,16934
0,4178.412,16930
0,4489.103,687
0,4491.988,6167
0,4486.539,6168
0,6393.911,19253
0,6388.675,19254
0,6391.389,1171
0,6051.926,16144
0,6055.413,16145
0,6053.667,16143
0,5539.82,15985
0,5276.383,15986
0,5535.712,15908
0,5531.291,15987
0,5274.449,15988
0,5275.375,15909
0,6171.083,15989
0,6163.512,15990
0,6167.297,15910
0,4977.21,15993
0,4969.139,15994
0,5023.538,19274
0,5017.467,19275
0,4991.294,15912
0,6129.616,15995
0,6120.828,15996
0,6125.221,15913
0,5999.638,15997
0,5992.565,15998
0,5996.029,15914
0,6326.54,16001
0,6355.898,16002
0,6341.111,15916
0,5041.227,19277
0,5034.306,19278
0,5037.563,19276
0,7277.88,19264
