centroid_id,centroid_lon,centroid_lat,distance,stop_id,departure_time,walking_time
0,-2.110354216646863,48.476069427011225,2132.457,16018,'08:30:00',2558.948
1,-2.110354216646863,48.46695652584767,1776.423,16018,'08:30:00',2131.708
2,-2.110354216646863,48.45784362468413,1953.904,16018,'08:30:00',2344.685
3,-2.110354216646863,48.44873072352058,1335.235,8700,'08:30:00',1602.282
4,-2.110354216646863,48.43961782235704,833.276,8697,'08:30:00',999.931
5,-2.110354216646863,48.430504921193496,621.902,8697,'08:30:00',746.282
6,-2.0962283371627306,48.476069427011225,1395.299,16018,'08:30:00',1674.359
7,-2.0962283371627306,48.46695652584767,744.783,16018,'08:30:00',893.74
8,-2.0962283371627306,48.45784362468413,1102.859,16018,'08:30:00',1323.431
9,-2.0962283371627306,48.44873072352058,977.514,16025,'08:30:00',1173.017
10,-2.0962283371627306,48.43961782235704,1117.413,8700,'08:30:00',1340.896
11,-2.0962283371627306,48.430504921193496,531.083,19269,'08:30:00',637.3
12,-2.082102457678598,48.476069427011225,1216.298,16023,'08:30:00',1459.558
13,-2.082102457678598,48.46695652584767,872.573,9646,'08:30:00',1047.088
14,-2.082102457678598,48.45784362468413,717.571,9646,'08:30:00',861.085
15,-2.082102457678598,48.44873072352058,968.409,687,'08:30:00',1162.091
16,-2.082102457678598,48.43961782235704,915.056,15986,'08:30:00',1098.067
17,-2.082102457678598,48.430504921193496,388.806,8262,'08:30:00',466.567
18,-2.067976578194465,48.476069427011225,1392.737,16043,'08:30:00',1671.284
19,-2.067976578194465,48.46695652584767,976.433,16933,'08:30:00',1171.72
20,-2.067976578194465,48.45784362468413,916.402,15958,'08:30:00',1099.682
21,-2.067976578194465,48.44873072352058,894.923,19384,'08:30:00',1073.908
22,-2.067976578194465,48.43961782235704,736.592,687,'08:30:00',883.91
23,-2.067976578194465,48.430504921193496,745.626,19253,'08:30:00',894.751
24,-2.0538506987103324,48.476069427011225,817.715,16037,'08:30:00',981.258
25,-2.0538506987103324,48.46695652584767,891.198,15944,'08:30:00',1069.438
26,-2.0538506987103324,48.45784362468413,337.855,19217,'08:30:00',405.426
27,-2.0538506987103324,48.44873072352058,891.272,19217,'08:30:00',1069.526
28,-2.0538506987103324,48.43961782235704,871.128,15968,'08:30:00',1045.354
29,-2.0538506987103324,48.430504921193496,300.288,19253,'08:30:00',360.346
30,-2.0397248192261994,48.476069427011225,249.621,16037,'08:30:00',299.545
31,-2.0397248192261994,48.46695652584767,876.24,15944,'08:30:00',1051.488
32,-2.0397248192261994,48.45784362468413,772.621,19217,'08:30:00',927.145
33,-2.0397248192261994,48.44873072352058,755.255,15945,'08:30:00',906.306
34,-2.0397248192261994,48.43961782235704,759.373,15968,'08:30:00',911.248
35,-2.0397248192261994,48.430504921193496,1107.309,15989,'08:30:00',1328.771
36,-2.025598939742067,48.476069427011225,382.904,16047,'08:30:00',459.485
37,-2.025598939742067,48.46695652584767,980.016,15951,'08:30:00',1176.019
38,-2.025598939742067,48.45784362468413,677.335,16003,'08:30:00',812.802
39,-2.025598939742067,48.44873072352058,393.686,19264,'08:30:00',472.423
40,-2.025598939742067,48.43961782235704,679.021,19264,'08:30:00',814.825
41,-2.025598939742067,48.430504921193496,1679.548,19264,'08:30:00',2015.458
