destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
383,-3660.0,WALK,20,140,None,3150,None,None,7888.3512
384,19380.0,WALK,23,140,None,3150,None,None,7895.908799999999
385,-3780.0,WALK,9,140,None,3150,None,None,8723.386799999998
386,480.0,WALK,17,140,None,3150,None,None,8725.86
390,-3480.0,WALK,17,140,None,3150,None,None,7186.343999999999
389,420.0,WALK,7,140,None,3150,None,None,7177.8312
394,0.0,WALK,22,140,None,3150,None,None,7880.201999999999
393,13620.0,WALK,15,140,None,3150,None,None,7869.0372
395,-3720.0,WALK,11,140,None,3150,None,None,7961.387999999999
396,300.0,WALK,5,140,None,3150,None,None,7963.5491999999995
188,300.0,WALK,11,140,None,3150,None,None,7165.572
137,-3420.0,WALK,7,140,None,3150,None,None,7166.024399999999
15,120.0,WALK,8,140,None,3150,None,None,7909.0055999999995
387,13560.0,WALK,12,140,None,3150,None,None,7899.775199999999
418,-540.0,WALK,6,140,None,3150,None,None,5729.2512
417,14160.0,WALK,23,140,None,3150,None,None,5724.624000000001
420,-3300.0,WALK,17,140,None,3150,None,None,6563.517599999999
419,-480.0,WALK,22,140,None,3150,None,None,6557.467199999999
422,-120.0,WALK,35,140,None,3150,None,None,7246.8264
421,13800.0,WALK,12,140,None,3150,None,None,7239.3528
424,-3180.0,WALK,7,140,None,3150,None,None,4752.7836
423,-600.0,WALK,10,140,None,3150,None,None,4747.285199999999
426,-420.0,WALK,24,140,None,3150,None,None,7086.068399999999
425,14040.0,WALK,8,140,None,3150,None,None,7076.397599999999
189,13980.0,WALK,12,140,None,3150,None,None,7219.8924
20,-300.0,WALK,22,140,None,3150,None,None,7230.4992
466,-3840.0,WALK,9,140,None,3150,None,None,9937.659599999999
467,300.0,WALK,35,140,None,3150,None,None,9946.387200000001
468,14040.0,WALK,33,140,None,3150,None,None,11303.1792
469,-60.0,WALK,19,140,None,3150,None,None,11302.5576
471,-120.0,WALK,38,140,None,3150,None,None,11940.204
470,14100.0,WALK,17,140,None,3150,None,None,11933.8536
476,-3360.0,WALK,20,140,None,3150,None,None,7310.8128
475,19260.0,WALK,12,140,None,3150,None,None,7301.355599999999
481,13920.0,WALK,34,140,None,3150,None,None,9532.9812
482,-3780.0,WALK,32,140,None,3150,None,None,9511.995599999998
492,-3840.0,WALK,32,140,None,3150,None,None,10134.758399999999
493,600.0,WALK,22,140,None,3150,None,None,10133.8368
495,-4020.0,WALK,35,140,None,3150,None,None,11318.124
494,19740.0,WALK,32,140,None,3150,None,None,11311.6176
1272,13320.0,WALK,8,140,None,3150,None,None,10780.6524
1270,660.0,WALK,8,140,None,3150,None,None,10791.400800000001
2560,0.0,WALK,35,140,None,3150,None,None,11624.25
2561,-3540.0,WALK,21,140,None,3150,None,None,11635.332
29,780.0,WALK,7,140,None,3150,None,None,11284.1796
501,13140.0,WALK,18,140,None,3150,None,None,10907.6088
111,840.0,WALK,5,140,None,3150,None,None,10902.0132
190,19860.0,WALK,35,140,None,3150,None,None,11875.037999999999
28,-4140.0,WALK,21,140,None,3150,None,None,11892.9984
1264,480.0,WALK,22,140,None,3150,None,None,11027.139599999999
1265,13440.0,WALK,36,140,None,3150,None,None,11014.4724
522,-4020.0,WALK,32,140,None,3150,None,None,11925.4308
523,-360.0,WALK,35,140,None,3150,None,None,11932.9836
622,-2700.0,WALK,9,140,None,3150,None,None,8740.874399999999
623,15300.0,WALK,4,140,None,3150,None,None,8712.6816
650,-3120.0,WALK,38,140,None,3150,None,None,6728.8884
649,-120.0,WALK,7,140,None,3150,None,None,6727.1795999999995
624,18360.0,WALK,13,140,None,3150,None,None,7052.473199999999
625,-2280.0,WALK,28,140,None,3150,None,None,7059.7464
640,-3000.0,WALK,31,140,None,3150,None,None,8254.7532
639,-240.0,WALK,33,140,None,3150,None,None,8247.6384
627,-2760.0,WALK,4,140,None,3150,None,None,8484.8136
626,15420.0,WALK,11,140,None,3150,None,None,8479.8708
638,-2220.0,WALK,6,140,None,3150,None,None,7577.2824
637,18300.0,WALK,12,140,None,3150,None,None,7582.4256
628,9300.0,WALK,2,140,None,3150,None,None,5825.318399999999
629,-3240.0,WALK,38,140,None,3150,None,None,5822.858399999999
